label,type,series,title,volume,isbn,doi,booktitle,publisher,author,editor,year,pages,issn,number,journal,file,url,language,shorttitle,urldate,keywords,copyright,pmid,note,pmcid,address,institution,keep_yn,abstract
qi_novel_2014,article,NA,A {Novel} {Method} for {Fast} {Change}-{Point} {Detection} on {Simulated} {Time} {Series} and {Electrocardiogram} {Data,9,NA,10.1371/journal.pone.0093365,NA,NA,"Qi, Jin-Peng and Zhang, Qing and Zhu, Ying and Qi, Jie month = apr,",NA,2014,NA,1932-6203,4,PLOS ONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n,"although kolmogorov-smirnov (ks) statistic is a widely used method, some weaknesses exist in investigating abrupt change point (cp) problems, e. g. it is time-consuming and invalid sometimes. to detect abrupt change from time series fast, a novel method is proposed based on haar wavelet (hw) and ks statistic (hwks). first, the two binary search trees (bsts), termed tca and tcd, are constructed by multi-level hw from a diagnosed time series; the framework of hwks method is implemented by introducing a modified ks statistic and two search rules based on the two bsts; and then fast cp detection is implemented by two hwks-based algorithms. second, the performance of hwks is evaluated by simulated time series dataset. the simulations show that hwks is faster, more sensitive and efficient than ks, hw, and t methods. last, hwks is applied to analyze the electrocardiogram (ecg) time series, the experiment results show that the proposed method can find abrupt change from ecg segment with maximal data fluctuation more quickly and efficiently, and it is very helpful to inspect and diagnose the different state of health from a patient's ecg signal."
rodionov_sequential_2015,article,NA,A {Sequential} {Method} of {Detecting} {Abrupt} {Changes} in the {Correlation} {Coefficient} and {Its} {Application} to {Bering} {Sea} {Climate,3,NA,10.3390/cli3030474,NA,NA,"Rodionov, Sergei month = sep,",NA,2015,474--491,2225-1154,3,CLIMATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y,"a new method of regime shift detection in the correlation coefficient is proposed. the method is designed to find multiple change-points with unknown locations in time series. it signals a possible regime shift in real time and allows for its monitoring. the method is tested on randomly generated time series with predefined change-points. it is applied to examine structural changes in the bering sea climate. a major shift is found in 1967, which coincides with a transition from a zonal type of atmospheric circulation to a meridional one. the roles of the siberian and alaskan centers of action on winter temperatures in the eastern bering sea have been investigated."
liu_review_2016,article,NA,A {Review} of the {Detection} {Methods} for {Climate} {Regime} {Shifts,NA,NA,10.1155/2016/3536183,NA,NA,"Liu, Qunqun and Wan, Shiquan and Gu, Bin",NA,2016,NA,1026-0226,NA,DISCRETE DYNAMICS IN NATURE AND SOCIETY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y,"an abrupt climate change means that the climate system shifts from a steady state to another steady state. study on the phenomenon and theory of the abrupt climate change is a new research field of modern climatology, and it is of great significance for the prediction of future climate change. the climate regime shift is one of the most common forms of abrupt climate change, which mainly refers to the statistical significant changes on the variable of climate system at one time scale. these detection methods can be roughly divided into five categories based on different types of abrupt changes, namely, abrupt mean value change, abrupt variance change, abrupt frequency change, abrupt probability density change, and the multivariable analysis. the main research progress of abrupt climate change detection methods is reviewed. what is more, some actual applications of those methods in observational data are provided. with the development of nonlinear science, many new methods have been presented for detecting an abrupt dynamic change in recent years, which is useful supplement for the abrupt change detection methods."
el.gebeily_identification_2016,article,NA,Identification of wall-thinning and cracks in pipes utilizing vibration modes and wavelets,40,NA,10.1016/j.apm.2015.12.031,NA,NA,"El-Gebeily, M. and Khulief, Y. A. month = may,",NA,2016,5335--5348,0307-904X,10-Sep,APPLIED MATHEMATICAL MODELLING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n,"internal surface damage such as wall-thinning and cracks in piping systems are mainly caused by chemical reactions, heat, erosion, solid carrying fluids or a combination of such influences. early detection of such surface damage is crucial in order to avoid sudden failure and the subsequent downtime losses and safety hazards. in this paper we develop methods for inner damage identification in pipes utilizing the vibration mode shapes. wall-thinning and cracks are modeled by smooth gradual change and abrupt change in the internal surface of the pipe, respectively. since wavelets are very efficient in detecting fast changes in signals and their derivatives, they are primarily used to detect crack development. while wavelets cannot be used to detect smooth wall-thinning changes, they can, nevertheless, be used to detect the beginning and end of such damage. we develop a new method for identifying the profile of the inner surface of the pipe, once the wavelet transform indicates that damage is taking place. the identification process requires the shape of one vibration mode of the pipe and does not require the elaborate monitoring and tracking of changes in the modal characteristics. no baseline data are needed aside from the nominal values of the pipe parameters. in addition to damage localization, the developed identification method is capable of quantizing damage severity from the identification of a more accurate profile of the inner surface of the pipe. the motivation and methods used in this work are introduced first in a general setting and then demonstrated by several pipe examples. the numerical simulations carried out here indicate the effectiveness of the developed approach. (c) 2015 elsevier inc. all rights reserved."
papworth_novel_2016,article,NA,"A {Novel}, {Unbiased} {Analysis} {Approach} for {Investigating} {Population} {Dynamics}: {A} {Case} {Study} on {Calanus} finmarchicus and {Its} {Decline} in the {North} {Sea",11,NA,10.1371/journal.pone.0158230,NA,NA,"Papworth, Danny J. and Marini, Simone and Conversi, Alessandra month = jul,",NA,2016,NA,1932-6203,7,PLOS ONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n,"marine populations are controlled by a series of drivers, pertaining to both the physical environment and the biological environment (trophic predator-prey interactions). there is heated debate over drivers, especially when trying to understand the causes of major ecosystem events termed regime shifts. in this work, we have researched and developed a novel methodology based on genetic programming (gp) for distinguishing which drivers can influence species abundance. this methodology benefits of having no a priori assumptions either on the ecological parameters used or on the underlying mathematical relationships among them. we have validated this methodology applying it to the north sea pelagic ecosystem. we use the target species calanus finmarchicus, a key copepod in temperate and subarctic ecosystems, along with 86 biological, hydrographical and climatic time series, ranging from local water nutrients and fish predation, to large scale climate pressure patterns. the chosen study area is the central north sea, from 1972 to 2011, during which period there was an ecological regime shift. the gp based analysis identified 3 likely drivers of c. finmarchicus abundance, which highlights the importance of considering both physical and trophic drivers: temperature, north sea circulation (net flow into the north atlantic), and predation (herring). no large scale climate patterns were selected, suggesting that when there is availability of both data types, local drivers are more important. the results produced by the gp based procedure are consistent with the literature published to date, and validate the use of gp for interpreting species dynamics. we propose that this methodology holds promises for the highly non-linear field of ecology."
qi_resilience_2016,article,NA,Resilience changes in watershed systems: {A} new perspective to quantify long-term hydrological shifts under perturbations,539,NA,10.1016/j.jhydrol.2016.05.039,NA,NA,"Qi, Man and Feng, Meili and Sun, Tao and Yang, Wei month = aug,",NA,2016,281--289,0022-1694,NA,JOURNAL OF HYDROLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,"natural hydrological regimes are essential to the stability of river basins. while numerous efforts have been put forth to characterize flow regime alterations driven by climate change and human activities, few approaches have been proposed to explore changes in watershed resilience. the present study attempted to introduce a systematic approach that can be used to identify the resilience change of river basins based on annual river discharge through the application of a convex model and the principle of critical slowing down. specifically, a resilience indicator (p(1)) that reflects streamfiow autocorrelation at a given time was proposed to represent the temporal variation of the system resilience, and annual water discharge at representative hydrological stations located in upstream, midstream, and downstream regions of a river basin was used to reflect alterations in long-term hydrological processes and the stability of river basins. the application of this method to the yellow river basin and yangtze river basin indicated that the system resilience was lower in downstream regions compared to upstream regions. the yellow river basin has suffered a decrease in resilience in its lower reaches since 1971, which extended to the middle reaches in 1987 and upper reaches in 1990. similarly, recent observation of the resilience change in the yangtze river basin indicated that resilience in its lower reaches has likely decreased since 2002, and this low resilience extended to the middle reaches in 2005. overall, our study presents a new method to predict potential decreases of resilience in complex large scale watershed systems where mechanistic insight is insufficient to build reliable basin-scale hydrological, climate, ecosystem integrated models. (c) 2016 elsevier b.v. all rights reserved."
byrski_double_2016,article,NA,A {DOUBLE} {WINDOWSTATE} {OBSERVER} {FOR} {DETECTION} {AND} {ISOLATION} {OF} {ABRUPT} {CHANGES} {IN} {PARAMETERS,26,NA,10.1515/amcs-2016-0041,NA,NA,"Byrski, Jedrzej and Byrski, Witold month = sep,",NA,2016,585--602,1641-876X,3,INTERNATIONAL JOURNAL OF APPLIED MATHEMATICS AND COMPUTER SCIENCE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,"the paper presents a new method for diagnosis of a process fault which takes the form of an abrupt change in some real parameter of a time-continuous linear system. the abrupt fault in the process real parameter is reflected in step changes in many parameters of the input/output model as well as in step changes in canonical state variables of the system. detection of these state changes will enable localization of the faulty parameter in the system. for detecting state changes, a special type of exact state observer will be used. the canonical state will be represented by the derivatives of the measured output signal. hence the exact state observer will play the role of virtual sensors for reconstruction of the derivatives of the output signal. for designing the exact state observer, the model parameters before and after the moment of fault occurrence must be known. to this end, a special identification method with modulating functions will be used. a novel concept presented in this paper concerns the structure of the observer. it will take the form of a double moving window observer which consists of two signal processing windows, each of width t. these windows are coupled to each other with a common edge. the right-hand side edge of the left-side moving window in the interval [t - 2t, t - t] is connected to the left-hand side edge of the right-side window which operates in the interval [t - t, t]. the double observer uses different measurements of input/output signals in both the windows, and for each current time t simultaneously reconstructs two values of the state-the final value of the state in the left-side window zt (t - t) and the initial value of the state z(0)(t - t) in the right-side window. if the process parameters are constant, the values of both the states on the common joint edge are the same. if an abrupt change (fault) in some parameter at the moment t(a) = t - t occurs in the system, then step changes in some variables of the canonical state vector will also occur and the difference between the states will be detected. this will enable localization of the faulty parameter in the system."
kong_hydrological_2017,article,NA,Hydrological regulation drives regime shifts: evidence from paleolimnology and ecosystem modeling of a large shallow {Chinese} lake,23,NA,10.1111/gcb.13416,NA,NA,"Kong, Xiangzhen and He, Qishuang and Yang, Bin and He, Wei and Xu, Fuliu and Janssen, Annette B. G. and Kuiper, Jan J. and van Gerven, Luuk P. A. and Qin, Ning and Jiang, Yujiao and Liu, Wenxiu and Yang, Chen and Bai, Zelin and Zhang, Min and Kong, Fanxiang and Janse, Jan H. and Mooij, Wolf M. month = feb,",NA,2017,737--754,1354-1013,2,GLOBAL CHANGE BIOLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,"quantitative evidence of sudden shifts in ecological structure and function in large shallow lakes is rare, even though they provide essential benefits to society. such regime shifts' can be driven by human activities which degrade ecological stability including water level control (wlc) and nutrient loading. interactions between wlc and nutrient loading on the long-term dynamics of shallow lake ecosystems are, however, often overlooked and largely underestimated, which has hampered the effectiveness of lake management. here, we focus on a large shallow lake (lake chaohu) located in one of the most densely populated areas in china, the lower yangtze river floodplain, which has undergone both wlc and increasing nutrient loading over the last several decades. we applied a novel methodology that combines consistent evidence from both paleolimnological records and ecosystem modeling to overcome the hurdle of data insufficiency and to unravel the drivers and underlying mechanisms in ecosystem dynamics. we identified the occurrence of two regime shifts: one in 1963, characterized by the abrupt disappearance of submerged vegetation, and another around 1980, with strong algal blooms being observed thereafter. using model scenarios, we further disentangled the roles of wlc and nutrient loading, showing that the 1963 shift was predominantly triggered by wlc, whereas the shift ca. 1980 was attributed to aggravated nutrient loading. our analysis also shows interactions between these two stressors. compared to the dynamics driven by nutrient loading alone, wlc reduced the critical p loading and resulted in earlier disappearance of submerged vegetation and emergence of algal blooms by approximately 26 and 10years, respectively. overall, our study reveals the significant role of hydrological regulation in driving shallow lake ecosystem dynamics, and it highlights the urgency of using multi-objective management criteria that includes ecological sustainability perspectives when implementing hydrological regulation for aquatic ecosystems around the globe."
dong.yong_application_2017,article,NA,Application of moving cut data-wavelet transformation analysis in dynamic structure mutation testing,66,NA,10.7498/aps.66.079201,NA,NA,"Dong-Yong, Sun and Hong-Bo, Zhang and Yi-Min, Wang month = apr,",NA,2017,NA,1000-3290,7,ACTA PHYSICA SINICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n,"the scaling exponent is an effective nonlinear dynamic index, which can be used to detect the dynamic structure mutations of the correlation time series by the moving cut a fixed window technology. the immediacy and accuracy of scaling exponent is very important for detecting the series change points, however, some of the existing scale index calculation methods (such as rescaled range analysis and rescaled variance analysis) take none of these into account. wavelet transform analysis can quickly decompose the sequence on different scales, and then the scaling index can be calculated by analyzing the scaling relation of wavelet coefficients on different scales, which has the characteristics of fast calculation speed and good convergence and memory saving. by moving cut window technology, in the present paper we put forward a new method, i.e., the moving cut data-wavelet transformation for detecting a series of dynamic structure mutations. the principle is that the removal of the data has little effect on the estimation of the scaling exponents of the correlation time series with the same dynamical properties. in order to test the performance of the method, first of all, the dynamic structure mutation analyses of linear ideal time series and nonlinear ideal time series are carried out by selecting different moving cut fixed windows. the test results show that the method can quickly and accurately detect the dynamic structure change points and intervals both in linear time series and nonlinear time series, besides, its calculation speed is obviously better than the moving cut data-rescaled range analysis and the moving cut data-rescaled variance analysis. it has strong stability, and depends less on the moving cut window length, which will have some advantages in the large data processing. at the same time, in order to detect the influence of noise on the method, the linear and nonlinear ideal time series are added to the white gaussian noise (s n r = 2 0, 25, 30 db), respectively, and the results show that the method has a strong anti-noise ability with different moving cut window lengths, can still quickly and accurately detect the mutation point or interval in different noise additions. finally, the method is used to detect the dynamic structure mutation of measured daily maximum temperature data of foping station in wei basin, the experimental results indicate that the mutation interval is consistent with the abrupt change in 1970's on a global scale, which further verifies the validity of the method."
samie_change.aware_2018,article,NA,Change-aware community detection approach for dynamic social networks,48,NA,10.1007/s10489-017-0934-z,NA,NA,"Samie, M. E. and Hamzeh, A. month = jan,",NA,2018,78--96,0924-669X,1,APPLIED INLIGENCE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n,"community mining is one of the most popular issues in social network analysis. although various changes may occur in a dynamic social network, they can be classified into two categories, gradual changes and abrupt changes. many researchers have attempted to propose a method to discover communities in dynamic social networks with various changes more accurately. most of them have assumed that changes in dynamic social networks occur gradually. this presumption for the dynamic social network in which abrupt changes may occur misleads the problem. few methods have tried to detect abrupt changes, but they used the statistical approach which has such disadvantages as the need for a lot of snapshots. in this paper, we propose a novel method to detect the type of changes using the least information of social networks and then, apply it to a new community detection framework named change-aware model. the experimental results on different benchmark and real-life datasets confirmed that the new method and framework have improved the performance of community detection algorithms."
