label,type,author,title,journal,year,volume,number,month,keep_yn,abstract,doi,article.number,issn,eissn,unique.id,pages,orcid.numbers,researcherid.numbers,note,editor,booktitle,series,organization,isbn,book.author
X.ISI.000458223000002,article,"Orozco-Fuentes, S. and Griffiths, G. and Holmes, M. J. and Ettelaie, R. and Smith, J. and Baggaley, A. W. and Parker, N. G.",Early warning signals in plant disease outbreaks,ECOLOGICAL MODELLING,2019,393,NA,1-Feb,n,"Infectious disease outbreaks in plants threaten ecosystems, agricultural crops and food trade. Currently, several fungal diseases are affecting forests worldwide, posing a major risk to tree species, habitats and consequently ecosystem decay. Prediction and control of disease spread are difficult, mainly due to the complexity of the interaction between individual components involved. In this work, we introduce a lattice-based epidemic model coupled with a stochastic process that mimics, in a very simplified way, the interaction between the hosts and pathogen. We studied the disease spread by measuring the propagation velocity of the pathogen on the susceptible hosts. Our quantitative results indicate the occurrence of a critical transition between two stable phases: local confinement and an extended epiphytotic outbreak that depends on the density of the susceptible individuals. Quantitative predictions of epiphytotics are performed using the framework early-warning indicators for impending regime shifts, widely applied on dynamical systems. These signals forecast successfully the outcome of the critical shift between the two stable phases before the system enters the epiphytotic regime. Our study demonstrates that early-warning indicators could be useful for the prediction of forest disease epidemics through mathematical and computational models suited to more specific pathogen-host-environmental interactions. Our results may also be useful to identify a suitable planting density to slow down disease spread and in the future, design highly resilient forests.",10.1016/j.ecolmodel.2018.11.003,NA,0304-3800,1872-7026,ISI:000458223000002,19-Dec,NA,NA,NA,NA,NA,NA,NA,NA,NA
X.ISI.000454957300025,article,"Fernandes, Milena B. and van Gils, Jos and Erftemeijer, Paul L. A. and Daly, Rob and Gonzalez, Dennis and Rouse, Karen",A novel approach to determining dynamic nitrogen thresholds for seagrass conservation,JOURNAL OF APPLIED ECOLOGY,2019,56,1,JAN,n,"Seagrass decline is often related to eutrophication, with sudden and drastic losses attributed to tipping points in nutrient loads. The identification of these threshold loads is an important step in the sustainable management of nutrient discharges. In this study, a novel methodological approach is presented to simulate the spatial and temporal dynamics of coastal nitrogen loads and its relationship with seagrass loss. The analysis allows the identification of nitrogen thresholds associated with the loss of Posidonia and Amphibolis spp. in Adelaide, South Australia. The identified thresholds varied between 0.8 and 1.1 t N km(-2) over 6 months and explained up to 95\% of all seagrass losses in the region. Posidonia spp. was predominantly lost nearshore, indicating a threshold for this species in the higher end of the values reported here. In contrast, Amphibolis spp. were selectively lost further offshore, suggesting a lower threshold for the onset of fragmentation and decline. Nitrogen pressure was concentrated over the wetter months of the year between late autumn and early spring. Pulsed pressure peaking in August likely affected thresholds by reducing resilience in the system. Synthesis and applications. This study derives, for the first time, nitrogen load thresholds for the loss of the seagrasses Posidonia and Amphibolis spp., highlighting the low tolerance of these keystone temperate species to nitrogen pressure. The methodology developed as part of the work provides a tool to inform planning and improved management of nutrient discharges from land to facilitate seagrass conservation.",10.1111/1365-2664.13252,NA,0021-8901,1365-2664,ISI:000454957300025,253-261,"Erftemeijer, Paul/0000-0002-2904-7422",NA,NA,NA,NA,NA,NA,NA,NA
X.ISI.000452692500038,article,"Tarazona, Yonatan and Mantas, Vasco M. and Pereira, A. J. S. C.",Improving tropical deforestation detection through using photosynthetic vegetation time series - (PVts-beta),ECOLOGICAL INDICATORS,2018,94,1,NOV,n,"This paper proposes a new approach of change detection that reduces seasonality in time series by using Photosynthetic Vegetation Time Series (PVTS) from satellite images. With this approach, each pixel value represents at the subpixel level a fraction of the photosynthetic forest's activity. Our hypothesis is based on an assumption that photosynthetic vegetation fractions will remain constant until a disturbing agent (natural or anthropic) occurs. Using Landsat data, we compared our approach with the Carnegie Landsat Systems Analysis-Lite (CLASlite) approach and with the national reports of the Ministry of the Environment of Peru (MINAM). After reducing seasonal variations in Landsat data, we detected deforestation events with a new detection method. Our approach (which was called PVts-beta) of detection is a simple method that does not model the seasonality and it only requires as inputs: i) the average and standard deviation of the time series of a pixel and ii) a threshold magnitude (beta) that was calibrated to detect deforestation events in tropical forests. For the PVts-beta approach, the results of calibration show that deforestation was optimally detected for beta = (5,6), higher or lower than this range, the biases favor to false detections and favor the omission of deforestation too. On the other hand, the overall accuracy for the PVts-beta approach was 91.1\%, with an omission and commission of 8.3\% and 0.5\% respectively, while for CLASlite the overall accuracy was 79.2\%, with an omission and commission of 20.8\% and 0.0\% respectively. The differences in the overall accuracy between the PVts-beta and CLASlite approach were significant, being atmospheric noise a main problem which CLASlite usually does not work optimally. The strength of our PVts-beta approach is the early detection at the subpixel level of deforestation events that, added to our new method of change detection explain the little omission obtained in the results. Therefore, the PVts-beta approach-that we propose here- provides the opportunity to monitoring deforestation events in tropical forests at sub-annual scales using Landsat data, and it can be used for near-real-time change detection monitoring without a doubt.",10.1016/j.ecolind.2018.07.012,NA,1470-160X,1872-7034,ISI:000452692500038,367-379,"Pereira, Alcides/0000-0002-7392-2255","Pereira, Alcides/M-5900-2013",NA,NA,NA,NA,NA,NA,NA
X.ISI.000451835900033,article,"Koch, Hillary and Starenki, Dmytro and Cooper, Sara J. and Myers, Richard M. and Li, Qunhua",powerTCR: A model-based approach to comparative analysis of the clone size distribution of the T cell receptor repertoire,PLOS COMPUTATIONAL BIOLOGY,2018,14,11,NOV,n,"Sequencing of the T cell receptor repertoire is a powerful tool for deeper study of immune response, but the unique structure of this type of data makes its meaningful quantification challenging. We introduce a new method, the Gamma-GPD spliced threshold model, to address this difficulty. This biologically interpretable model captures the distribution of the TCR repertoire, demonstrates stability across varying sequencing depths, and permits comparative analysis across any number of sampled individuals. We apply our method to several datasets and obtain insights regarding the differentiating features in the T cell receptor repertoire among sampled individuals across conditions. We have implemented our method in the open-source R package powerTCR.",10.1371/journal.pcbi.1006571,e1006571,1553-7358,NA,ISI:000451835900033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X.ISI.000446328200005,article,"Potts, Jonathan R. and Borger, Luca and Scantlebury, D. Michael and Bennett, Nigel C. and Alagaili, Abdulaziz and Wilson, Rory P.",Finding turning-points in ultra-high-resolution animal movement data,METHODS IN ECOLOGY AND EVOLUTION,2018,9,10,OCT,n,"1. Recent advances in biologging have resulted in animal location data at unprecedentedly high temporal resolutions, sometimes many times per second. However, many current methods for analysing animal movement (e.g. step selection analysis or state-space modelling) were developed with lower-resolution data in mind. To make such methods usable with high-resolution data, we require techniques to identify features within the trajectory where movement deviates from a straight line. 2. We propose that the intricacies of movement paths, and particularly turns, reflect decisions made by animals so that turn points are particularly relevant to behavioural ecologists. As such, we introduce a fast, accurate algorithm for inferring turning-points in high-resolution data. For analysing big data, speed and scalability are vitally important. We test our algorithm on simulated data, where varying amounts of noise were added to paths of straight-line segments interspersed with turns. We also demonstrate our algorithm on data of free-ranging oryx Oryx leucoryx. We compare our algorithm to existing statistical techniques for break-point inference. 3. The algorithm scales linearly and can analyse several hundred-thousand data points in a few seconds on a mid-range desktop computer. It identified turnpoints in simulated data with complete accuracy when the noise in the headings had a standard deviation of +/- 8 degrees, well within the tolerance of many modern biologgers. It has comparable accuracy to the existing algorithms tested, and is up to three orders of magnitude faster. 4. Our algorithm, freely available in R and Python, serves as an initial step in processing ultra high-resolution animal movement data, resulting in a rarefied path that can be used as an input into many existing step-and-turn methods of analysis. The resulting path consists of points where the animal makes a clear turn, and thereby provides valuable data on decisions underlying movement patterns. As such, it provides an important breakthrough required as a starting point for analysing subsecond resolution data.",10.1111/2041-210X.13056,NA,2041-210X,2041-2096,ISI:000446328200005,2091-2101,"Borger, Luca/0000-0001-8763-5997 Alagaili, Abdulaziz/0000-0002-9733-4220 Potts, Jonathan/0000-0002-8564-2904","Borger, Luca/C-6003-2008 ",NA,NA,NA,NA,NA,NA,NA
X.ISI.000445244500010,article,"Cardos, Juan Luis H. and Martinez, Isabel and Aragon, Gregorio and Ellis, Christopher J.",Role of past and present landscape structure in determining epiphyte richness in fragmented Mediterranean forests,LANDSCAPE ECOLOGY,2018,33,10,OCT,n,"Context The anthropocene is characterised by global landscape modification, and the structure of remnant habitats can explain different patterns of species richness. The most pervasive processes of degradation include habitat loss and fragmentation. However, a recovery of modified landscape is occurring in some areas. Objectives The main goal is to know how lichen and bryophyte epiphytic richness growing on Mediterranean forests is influenced not only by fragments characteristics but also by the structure of the landscape. We introduce a temporal dimension in order to evaluate if the historical landscape structure is relevant for current epiphytic communities. Methods 40 well-preserved forest fragments were selected in a landscape with a large habitat loss over decades, but with a recovery of forest surface in the last 55years. The most relevant fragment and landscape-scale attributes were considered. Some of the variables were measured in three different years to incorporate a temporal framework. Results The results showed that variables at fragment scale had a higher influence, whereas variables at the landscape scale were irrelevant. Among all the historical variables analyzed, only the shift in forest fragment size had influence on species richness. Conclusions Mediterranean forests had suffered fragmentation along centuries. Their epiphytic communities also suffer the hard conditions of Mediterranean climate. Our results indicate that Mediterranean epiphytic communities may be in a threshold since it they will never be similar to those communities existing previous fragmentation process even a recovery habitat occur or, they may require more time to response to this habitat recovery.",10.1007/s10980-018-0700-6,NA,0921-2973,1572-9761,ISI:000445244500010,1757-1768,"Martinez, Isabel/0000-0002-5924-1648",NA,NA,NA,NA,NA,NA,NA,NA
X.ISI.000439889500002,article,"Zheng, Bo and Yu, Jianshe",Characterization of Wolbachia enhancing domain in mosquitoes with imperfect maternal transmission,JOURNAL OF BIOLOGICAL DYNAMICS,2018,12,1,19-Jul,n,"A novel method to reduce the burden of dengue is to seed wild mosquitoes with Wolbachia-infected mosquitoes in dengue-endemic areas. Concerns in current mathematical models are to locate the Wolbachia introduction threshold. Our recent findings manifest that the threshold is highly dependent on the initial population size once Wolbachia infection alters the logistic control death rate of infected females. However, counting mosquitoes is beyond the realms of possibility. A plausible method is to monitor the infection frequency. We propose the concept of Wolbachia enhancing domain in which the infection frequency keeps increasing. A detailed description of the domain is presented. Our results suggest that both the initial population size and the infection frequency should be taken into account for optimal release strategies. Both Wolbachia fixation and extinction permit the oscillation of the infection frequency.",10.1080/17513758.2018.1499969,NA,1751-3758,1751-3766,ISI:000439889500002,596-610,NA,NA,NA,NA,NA,NA,NA,NA,NA
X.ISI.000440957500011,article,"Huang, Qiongyu and Fleming, Christen H. and Robb, Benjamin and Lothspeich, Audrey and Songer, Melissa",How different are species distribution model predictions?-Application of a new measure of dissimilarity and level of significance to giant panda Ailuropoda melanoleuca,ECOLOGICAL INFORMATICS,2018,46,NA,JUL,n,"Species distribution models (SDMs) are widely used for predicting species spatial distributions. Different model setup and data input however can lead to variable model predictions. Existing studies on quantifying SDM dissimilarity primarily rely on partitioning the variability in SDM-produced community level metrics such as species richness and turnover rate which are threshold-dependent and are generated with binary range maps of multiple species. Most existing measurements of spatial dissimilarity constitute geometric comparisons, which is limited compared to a more information-theoretic application of statistical dissimilarity measures using SDM predictions as direct input without renormalization. We introduce a novel method to quantify the degree of dissimilarity and its level of significance between unscaled SDM predictions of a single species. We apply the method to giant panda Ailuropoda melanoleuca data as well as pairs of simulated species distributions. We utilize a pixel-based Bhattacharyya distance to quantify the degree of dissimilarity among predictions of giant panda habitat of different combinations of model types, Global Climate Models (GCMs) and Representative Concentration Pathways (RCPs). Comparisons are also made between pairs of simulated species with different degrees of dissimilarity in spatial distribution. To evaluate the level of significance, the observed dissimilarity measure is compared against a null distribution that captures the level of dissimilarity caused by small and random variations. Specific pairs of climate scenarios (HadGEM2-ES with HadGEM2-AO and HadGEM2-AO with MIROC5) consistently produce statistically similar predictions of giant panda habitat; the highest level of RCP tends to result in more similar predictions, suggesting a convergence of model predictions. The simulated scenarios also show that the proposed method is able to effectively differentiate a range of artificial species with varying degree of dissimilarity in their resource selection preference. Our method can also reflect the dissimilarity that cannot be quantified by traditional metrics that rely on geometric comparisons. The proposed method supplements existing studies by utilizing a novel application of statistical comparisons to measure dissimilarity between user-defined pairs of models. It provides a robust way to construct the null distribution of dissimilarity that contrasts the degree of the observed dissimilarity with the intrinsic model variability. Our study provides useful insight to facilitate building more computationally efficient and robust ensemble SDMs, and it lends a practical tool to help understand the processes that contribute to prediction variability among SDMs.",10.1016/j.ecoinf.2018.06.004,NA,1574-9541,1878-0512,ISI:000440957500011,114-124,NA,NA,NA,NA,NA,NA,NA,NA,NA
X.ISI.000431785600002,article,"Wang, Steve C. and Zhong, Ling",Estimating the number of pulses in a mass extinction,PALEOBIOLOGY,2018,44,2,MAY,n,"The Signor-Lipps effect states that even a sudden mass extinction will invariably appear gradual in the fossil record, due to incomplete fossil preservation. Most previous work on the Signor-Lipps effect has focused on testing whether taxa in a mass extinction went extinct simultaneously or gradually. However, many authors have proposed scenarios in which taxa went extinct in distinct pulses. Little methodology has been developed for quantifying characteristics of such pulsed extinction events. Here we introduce a method for estimating the number of pulses in a mass extinction, based on the positions of fossil occurrences in a stratigraphic section. Rather than using a hypothesis test and assuming simultaneous extinction as the default, we reframe the question by asking what number of pulses best explains the observed fossil record. Using a two-step algorithm, we are able to estimate not just the number of extinction pulses but also a confidence level or posterior probability for each possible number of pulses. In the first step, we find the maximum likelihood estimate for each possible number of pulses. In the second step, we calculate the Akaike information criterion and Bayesian information criterion weights for each possible number of pulses, and then apply a k-nearest neighbor classifier to these weights. This method gives us a vector of confidence levels for the number of extinction pulses-for instance, we might be 80\% confident that there was a single extinction pulse, 15\% confident that there were two pulses, and 5\% confident that there were three pulses. Equivalently, we can state that we are 95\% confident that the number of extinction pulses is one or two. Using simulation studies, we show that the method performs well in a variety of situations, although it has difficulty in the case of decreasing fossil recovery potential, and it is most effective for small numbers of pulses unless the sample size is large. We demonstrate the method using a data set of Late Cretaceous ammonites.",10.1017/pab.2016.30,NA,0094-8373,1938-5331,ISI:000431785600002,199-218,"Wang, Steve/0000-0002-8953-285X",NA,NA,NA,NA,NA,NA,NA,NA
X.ISI.000430761100022,article,"Hazbavi, Zeinab and Baartman, Jantiene E. M. and Nunes, Joao P. and Keesstra, Saskia D. and Sadeghi, Seyed Hamidreza","Changeability of reliability, resilience and vulnerability indicators with respect to drought patterns",ECOLOGICAL INDICATORS,2018,87,NA,APR,n,"Climate-related extremes such as droughts have led to significant impacts on some watersheds. To assess watershed health and develop effective management plans, information about the function and structure of the watersheds in the context of their climatic response, especially to take into account rainfall anomalies and climate change adaptation, is needed. Integration of climatic variables with reliability, resilience and vulnerability (RRV) indicators, is a novel approach for generating this information. This study investigated the behavior of RRV indicators with respect to rainfall variability and drought patterns for three watersheds governed by different climates. Reliability was defined as the probability of a watershed to be in the range of satisfactory Standardized Precipitation Index (SPI) values. Resilience was indicated as the speed of recovery from an unsatisfactory condition. Vulnerability was defined as a function of the exposure of a watershed to climate change and variation using the SPI. The study areas were the Foyle Watershed in Northern Ireland (temperate oceanic, Cfb), the Xarrama Watershed in Portugal (Mediterranean hot summer, Csa) and the Shazand Watershed in Iran (moderate to cold semi-arid (Bsk). Based on the SPI pattern of each watershed, the SPI of -0.1 for the Foyle and Xarrama watersheds and +0.1 for the Shazand Watershed was selected as the drought threshold. The drought based RRV index was subsequently calculated from long-term (1981-2012) RRV indicators, resulting in means of 0.52 +/- 0.25, 0.53 +/- 0.21 and 0.30 +/- 0.18 for the three watersheds, respectively. These means reflect the status of the watersheds in terms of climatic conditions, which was moderate dry (0.41-0.60) for the Foyle and Xarrama watersheds and dry (0.21-0.40) for the Shazand Watershed. The temporal trend of the drought based RRV index was found to be non-significantly increasing (P-value > 0.52) for the Foyle and Xarrama watersheds and non-significantly decreasing for the Shazand Watershed (P-value > 0.48). The vulnerability indicator and drought based RRV index were significantly (p-value = 0.00) affected by the climatological gradient. The results of the conceptual framework linked to statistical trends can provide researchers, policy makers, and land managers a more comprehensive base to assess variability of watershed health and design drought management plans.",10.1016/j.ecolind.2017.12.054,NA,1470-160X,1872-7034,ISI:000430761100022,196-208,"Keesstra, Saskia/0000-0003-4129-9080 Hazbavi, Zeinab/0000-0001-6960-2876",NA,NA,NA,NA,NA,NA,NA,NA
