Publication Years	records	% of 571169
2019	3119	0.546
2018	25848	4.525
2017	25454	4.456
2016	24996	4.376
2015	23986	4.199
2014	22947	4.018
2013	21907	3.835
2012	21808	3.818
2011	21191	3.710
2010	21126	3.699
2009	20400	3.572
2008	18597	3.256
2007	18756	3.284
2006	16232	2.842
2005	14852	2.600
2004	13668	2.393
2003	14632	2.562
2002	12974	2.271
2001	13293	2.327
2000	11628	2.036
1999	12057	2.111
1998	11702	2.049
1997	10523	1.842
1996	11405	1.997
1995	12271	2.148
1994	9931	1.739
1993	8802	1.541
1992	9023	1.580
1991	8206	1.437
1990	8184	1.433
1989	7181	1.257
1988	6183	1.083
1987	6347	1.111
1986	5922	1.037
1985	6180	1.082
1984	6356	1.113
1983	5999	1.050
1982	4760	0.833
1981	4535	0.794
1980	4236	0.742
1979	4066	0.712
1978	3452	0.604
1977	3095	0.542
1976	2272	0.398
1975	2135	0.374
1974	2059	0.360
1973	1777	0.311
1972	1995	0.349
1971	1499	0.262
1970	1381	0.242
1969	1490	0.261
1968	1412	0.247
1967	1632	0.286
1966	1256	0.220
1965	753	0.132
1964	633	0.111
1963	450	0.079
1962	459	0.080
1961	461	0.081
1960	357	0.063
1959	327	0.057
1958	316	0.055
1957	315	0.055
1956	306	0.054
1955	293	0.051
1954	428	0.075
1953	483	0.085
1952	480	0.084
1951	435	0.076
1950	444	0.078
1949	377	0.066
1948	368	0.064
1947	292	0.051
1946	328	0.057
1945	273	0.048
1944	127	0.022
1943	132	0.023
1942	152	0.027
1941	168	0.029
1940	168	0.029
1939	178	0.031
1938	169	0.030
1937	186	0.033
1936	200	0.035
1935	194	0.034
1934	171	0.030
1933	163	0.029
1932	148	0.026
1931	176	0.031
1930	155	0.027
1929	157	0.027
1928	132	0.023
1927	140	0.025
1926	126	0.022
1925	132	0.023
1924	147	0.026
1923	130	0.023
1922	115	0.020
1921	142	0.025
1920	101	0.018
1919	74	0.013
1918	74	0.013
1917	116	0.020
1916	116	0.020
1915	104	0.018
1914	119	0.021
1913	115	0.020
1912	90	0.016
1911	64	0.011
1910	87	0.015
1909	88	0.015
1908	100	0.018
1907	85	0.015
1906	73	0.013
1905	76	0.013
1904	82	0.014
1903	82	0.014
1902	103	0.018
1901	94	0.016
1900	302	0.053
(0 Publication Years {0} {1} value(s) outside display options.)
(0 records (0.000%){0} records{1} do not contain data in the field being analyzed.)
