label,type,author,keep_yn,title,journal,year,volume,pages,month,abstract,doi,issn,eissn,unique.id,number,article.number,orcid.numbers,researcherid.numbers,note,organization,editor,booktitle,series,isbn,book.author,book.group.author,xlink.href,xmlns.xlink,registered
X.ISI.000436855200007,article,"Zan, Yanjun and Carlborg, Orjan",n,A multilocus association analysis method integrating phenotype and expression data reveals multiple novel associations to flowering time variation in wild-collected Arabidopsis thaliana,MOLECULAR ECOLOGY RESOURCES,2018,18,798-808,JUL,"The adaptation to a new habitat often results in a confounding between genomewide genotype and beneficial alleles. When the confounding is strong, or the allelic effects is weak, it is a major statistical challenge to detect the adaptive polymorphisms. We describe a novel approach to dissect polygenic traits in natural populations. First, candidate adaptive loci are identified by screening for loci directly associated with the adaptive trait or the expression of genes known to affect it. Then, a multilocus genetic architecture is inferred using a backward elimination association analysis across all candidate loci with an adaptive false discovery rate-based threshold. Effects of population stratification are controlled by accounting for genomic kinship in both steps of the analysis and also by simultaneously testing all candidate loci in the multilocus model. We illustrate the method by exploring the polygenic basis of an important adaptive trait, flowering time in Arabidopsis thaliana, using public data from the 1,001 genomes project. We revealed associations between 33 (29) loci and flowering time at 10 (16)degrees C in this collection of natural accessions, where standard genomewide association analysis methods detected five (3) loci. The 33 (29) loci explained approximately 55.1 (48.7)\% of the total phenotypic variance of the respective traits. Our work illustrates how the genetic basis of highly polygenic adaptive traits in natural populations can be explored in much greater detail using new multilocus mapping approaches taking advantage of prior biological information, genome and transcriptome data.",10.1111/1755-0998.12757,1755-098X,1755-0998,ISI:000436855200007,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X.ISI.000374207800015,article,"Yletyinen, Johanna and Bodin, Orjan and Weigel, Benjamin and Nordstrom, Marie C. and Bonsdorff, Erik and Blenckner, Thorsten",n,Regime shifts in marine communities: a complex systems perspective on food web dynamics,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2016,283,NA,24-Feb,"Species composition and habitats are changing at unprecedented rates in the world's oceans, potentially causing entire food webs to shift to structurally and functionally different regimes. Despite the severity of these regime shifts, elucidating the precise nature of their underlying processes has remained difficult. We address this challenge with a new analytic approach to detect and assess the relative strength of different driving processes in food webs. Our study draws on complexity theory, and integrates the network-centric exponential random graph modelling (ERGM) framework developed within the social sciences with community ecology. In contrast to previous research, this approach makes dear assumptions of direction of causality and accommodates a dynamic perspective on the emergence of food webs. We apply our approach to analysing food webs of the Baltic Sea before and after a previously reported regime shift. Our results show that the dominant food web processes have remained largely the same, although we detect changes in their magnitudes. The results indicate that the reported regime shift may not be a system-wide shift, but instead involve a limited number of species. Our study emphasizes the importance of community-wide analysis on marine regime shifts and introduces a novel approach to examine food webs.",10.1098/rspb.2015.2569,0962-8452,1471-2954,ISI:000374207800015,1825,20152569,"Nordstrom, Marie/0000-0001-5763-1813 Bodin, Orjan/0000-0002-8218-1153 Blenckner, Thorsten/0000-0002-6991-7680 Weigel, Benjamin/0000-0003-2302-5529","Nordstrom, Marie/C-8956-2012 Bodin, Orjan/A-5098-2010 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X.ISI.000394670600012,article,"Yin, Deyi and Leroux, Shawn J. and He, Fangliang",y,Methods and models for identifying thresholds of habitat loss,ECOGRAPHY,2017,40,131-143,JAN,"There is mounting evidence that many taxa respond in non-linear ways to perturbation (i.e. deviations from a natural trajectory brought on by an external agent), and many statistical, physical and ecological methods have been developed to detect the critical points or thresholds of perturbation. The majority of these methods define thresholds as the perturbation points causing abrupt ecological response, but in reality most species or ecosystems do not show a break point response but more gradual transitional change to perturbation. We develop a new method which delineates thresholds as a region in which the slope of the relationship between ecological response (y) and perturbation (x; e.g. habitat loss) is larger than 1: vertical bar|dy/dx vertical bar >= 1, where both x-and y-axes are scaled to (0, 1) range. The lower end of threshold zones so defined is of particular ecological interest because it is the smallest x that may trigger impending catastrophic response to a small change in x. We derived two landscape models (edge length and the number of patches of species distribution) and two biodiversity models (endemics-area relationship and half-population curve) to test this method. We applied our zonal thresholding method to these four models fit to empirical data of two forest plots to detect thresholds of species distribution to habitat loss. The two landscape metric models predict that no species could tolerate more than 40\% of habitat loss and these thresholds can be much lower for relatively rare species with occupancy <0.4 and for aggregated habitat loss compared to random habitat loss. The half-population model leads to a similar threshold level of 40\% habitat loss. Overall, we suggest the maximum permissible habitat loss threshold to be between 0-40\%, depending on the pre-disturbed occupancy (or abundance) of a species. This habitat loss threshold falls within the otherwise wide range of thresholds calculated from conventional methods. Our study contributes novel methods and models to quantify the effect of habitat loss on species distribution and diversity in landscapes with potential for conservation applications.",10.1111/ecog.02557,0906-7590,1600-0587,ISI:000394670600012,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X.ISI.000347018400061,article,"Yao, Linjun and Naeth, M. Anne",n,Soil and plant response to unused potassium silicate drilling fluid application,ECOLOGICAL ENGINEERING,2014,73,461-468,DEC,"Drilling fluid, also referred to as drilling mud, is a major waste from oil and gas drilling. Land application is a novel approach to potassium silicate drilling fluid (PSDF) waste recycling, addressing its disposal requirements while potentially improving soil quality for land reclamation. Inorganic nitrogen (N) and phosphorus (P) fertilizer (0,34 N: 45 P kg ha(-1)) was added with PSDF (0, 30, 45, 60 m(3) ha(-1)) as eight PSDF amendments. PSDF amendments were incorporated or sprayed on four reclamation soils (sand, loam, clay loam 1 and 2). Response to PSDF application was assessed in the greenhouse with two plant species (Hordeum vulgare L. (barley) and Agropyron trachycaulum (Link) Malte (slender wheat grass). PSDF amendments had no detrimental effects on soil quality (macronutrients, pH, salinity, sodicity) and plant growth except in clay loam 2 soil. In loam soil, barley height and biomass were greater with PSDF at 45 m3 ha(-1) with fertilizer relative to soil without PSDF. In sand soil with PSDF at the highest rate without fertilizer, wheat grass height was 1.08 times and biomass was 1.76 times greater than the control. High electrical conductivity in clay loam 2 soil, and decreased density, height and biomass of wheat grass at highest PSDF application rates or with PSDF incorporation, suggest a threshold beyond which conditions are compromised for PSDF application. Increasing PSDF application rate increased soil potassium availability by 1.6-4.1 times relative to no PSDF. This initial research demonstrates that PSDF may be an appropriate soil amendment for agricultural crops and native plant species on land reclamation sites with consideration of substrates properties, plant species tolerances and inorganic fertilizer. (C) 2014 Elsevier B.V. All rights reserved.",10.1016/j.ecoleng.2014.09.110,0925-8574,1872-6992,ISI:000347018400061,NA,NA,"Naeth, M Anne/0000-0002-9147-1638",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X.ISI.000415921900018,article,"Xue, Alexander T. and Hickerson, Michael J.",n,multi-dice: r package for comparative population genomic inference under hierarchical co-demographic models of independent single-population size changes,MOLECULAR ECOLOGY RESOURCES,2017,17,e212-e224,NOV,"Population genetic data from multiple taxa can address comparative phylogeographic questions about community-scale response to environmental shifts, and a useful strategy to this end is to employ hierarchical co-demographic models that directly test multi-taxa hypotheses within a single, unified analysis. This approach has been applied to classical phylogeographic data sets such as mitochondrial barcodes as well as reduced-genome polymorphism data sets that can yield 10,000s of SNPs, produced by emergent technologies such as RAD-seq and GBS. A strategy for the latter had been accomplished by adapting the site frequency spectrum to a novel summarization of population genomic data across multiple taxa called the aggregate site frequency spectrum (aSFS), which potentially can be deployed under various inferential frameworks including approximate Bayesian computation, random forest and composite likelihood optimization. Here, we introduce the r package multi-dice, a wrapper program that exploits existing simulation software for flexible execution of hierarchical model-based inference using the aSFS, which is derived from reduced genome data, as well as mitochondrial data. We validate several novel software features such as applying alternative inferential frameworks, enforcing a minimal threshold of time surrounding co-demographic pulses and specifying flexible hyperprior distributions. In sum, multi-dice provides comparative analysis within the familiar R environment while allowing a high degree of user customization, and will thus serve as a tool for comparative phylogeography and population genomics.",10.1111/1755-0998.12686,1755-098X,1755-0998,ISI:000415921900018,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X.ISI.000450376400007,article,"Xiao, Yang and Wang, De and Fang, Jia",n,"Exploring the disparities in park access through mobile phone data: Evidence from Shanghai, China",LANDSCAPE AND URBAN PLANNING,2019,181,80-91,JAN,"The benefits that urban green resources bring to humanity have received increasing attention, with the evidence from recent studies into public service provision specifically regarding access to green space being rather mixed. Despite a growing literature base, there is no consensus among scholars on how to measure green space access properly. The traditional GIS-based approach is criticized for inappropriately specifying geographic units and threshold distances, and for ignoring people's self-movement. This research proposes a novel approach, emphasizing the actual park users' activities, both spatially and temporally. We took advantage of the large dataset available from mobile phones to analyze billions of anonymized data samples in order to characterize the behavioral patterns of millions of people who accessed green space in an experimental procedure. We chose Shanghai as the case study because residential segregation had occurred expected to be accompanied by issues of environmental justice. The results found that social equity could be achieved, even where territorial inequity was manifest in a high-population-density context that is undergoing rapid urban growth and transition. Shanghai's vulnerable groups are not found to be unequally treated at present, but there are warning signs that market mechanisms may worsen the uneven development. Therefore, the local municipalities are required to rethink how to provide green infrastructure to different social groups, responding to the inequality and uneven development that capital can bring.",10.1016/j.landurbplan.2018.09.013,0169-2046,1872-6062,ISI:000450376400007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X.ISI.000434751900003,article,"Wu, Xia and Wang, Peijuan and Huo, Zhiguo and Wu, Dingrong and Yang, Jianying",n,"Crop Drought Identification Index for winter wheat based on evapotranspiration in the Huang-Huai-Hai Plain, China",AGRICULTURE ECOSYSTEMS \& ENVIRONMENT,2018,263,18-30,1-Aug,"Frequent occurrences of drought events can lead to winter wheat drought disasters. To prevent drought damage and reduce potential losses, it is important to establish an index to provide support for winter wheat drought monitoring, prevention, and mitigation, and further to understand the precise spatiotemporal characteristics of winter wheat droughts. In this study, meteorological factors, remote sensing products, disaster records, and phenophases of winter wheat in the Huang-Huai-Hai Plain were integrated to establish a Crop Drought Identification Index for winter wheat drought disasters. The CDII was expressed as the ratio of actual evapotranspiration (ETa) and crop evapotranspiration under standard conditions (ELc), in which ETa was simulated through the Two Source Energy Balance (TSEB) model and ETc was calculated based on the Penman-Monteith method using daily meteorological data and MODIS remotely sensed products. The CDII for winter wheat at different developmental stages was formed by establishing the drought sample sequences and determining the thresholds based on a Lilliefors goodness-of-fit test and the upper threshold of a 95\% confidence interval. Validation showed that the identification results by CDII corresponded with 86.2\% drought records. The spatial distributions of drought characteristics for winter wheat in the Huang-Huai-Hai Plain were mapped. The thresholds of the CDII at the before wintering stage, returning green-jointing stage, and heading stage were higher than that at the other two developmental stages. Drought frequency was higher across the whole Huang Huai-Hai Plain at the before wintering stage and returning green-jointing stage of winter wheat. The regions with higher drought frequency were concentrated in the northern part of the Huang-Huai-Hai Plain at the heading stage and in the mid-western Shandong Province at the milky ripening physiological maturity stage. This study took the drought distribution in the 2006-2007 growing season and heading stages from 2000 to 2013 as examples, the results indicated that the CDII could identify the actual drought of winter wheat reasonably. The findings indicate the CDII is useful for monitoring and assessing winter wheat drought disasters at a regional scale. It can also provide a new method for crop drought analysis.",10.1016/j.agee.2018.05.001,0167-8809,1873-2305,ISI:000434751900003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X.ISI.000188322300013,article,"Williams, AEP and Hunt, ER",n,Accuracy assessment for detection of leafy spurge with hyperspectral imagery,JOURNAL OF RANGE MANAGEMENT,2004,57,106-112,JAN,"When flowering, leafy spurge (Euphorbia esula L.) has conspicuous yellow-green bracts that are spectrally distinct from other vegetation and may be distinguished with hyperspectral remote sensing. In July 1999, Airborne Visible Infrared Imaging Spectrometer (AVIRIS) data were acquired in northeastern Wyoming, near Devils Tower National Monument. Using the reflectance spectrum of flowering leafy spurge, leafy spurge occurrence was determined using a new method of spectral mixture analysis, Mixture Tuned Matched Filtering (MTMF). Ground reference data (146 sites) were obtained 2 weeks before and after AVIRIS overflight to test the classification accuracy of leafy spurge. For 3 land cover types: mixed prairie, riparian, and coniferous woodlands, the presence or absence leafy spurge was detected with an overall accuracy of 95\% using a 0.10 threshold for detection. Differences in classification thresholds resulted in a trade-off between false positives, pixels that were mapped as leafy spurge but did not contain leafy spurge on the ground, and false negatives, areas that had leafy spurge on the ground but were not mapped as leafy spurge. Detection of leafy spurge occurrence was best for mixed prairie and riparian cover types, and somewhat less successful for conifer woodlands because of interference from tree crowns and their shadows. The advantage of the MTMF technique is it allows automated processing of hyperspectral imagery to generate accurate maps of leafy spurge occurrence.",10.2307/4003961,0022-409X,NA,ISI:000188322300013,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X.ISI.000371528800005,article,"Welch, Heather and Pressey, Robert L. and Heron, Scott F. and Ceccarelli, Daniela M. and Hobday, Alistair J.",n,Regimes of chlorophyll-a in the Coral Sea: implications for evaluating adequacy of marine protected areas,ECOGRAPHY,2016,39,289-304,MAR,"Spatial management of the highly dynamic pelagic realm, and the highly mobile species it supports, requires dynamic processes to be incorporated into reserve design. To achieve this, planners need information on how these processes vary across space and time, and how this variation relates to species of conservation interest. This study presents a new method of quantifying variability that captures both between- and within-year changes in variables of interest. We applied this method to remotely-sensed chlorophyll-a in the Coral Sea to find five distinct regimes of variation that serve as surrogates for assemblages of species of conservation interest. We performed a gap analysis to determine protection of the regimes both internationally and nationally within Australia's network of marine reserves in the Coral Sea. We also identified key areas for protection within each regime, in terms of chlorophyll-a variability and species associations, and examined their protection status. Depending on conservation objectives, reserve systems that span multiple national jurisdictions and a rezoning of Australian national waters might be necessary to meet protection requirements for the regimes and for key areas within them. The current suspension and review of the Coral Sea Commonwealth Marine Reserve management plans and the recent proclamation of New Caledonia's as yet unzoned Coral Sea Nature Park offer planners an opportunity to incorporate dynamic processes into conservation planning for the Coral Sea. The method we present can be applied at other locations for time-series of any variable/s of interest, aiding the spatial management of dynamic features in both marine and terrestrial contexts.",10.1111/ecog.01450,0906-7590,1600-0587,ISI:000371528800005,3,NA,NA,"Heron, Scott/E-7928-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X.ISI.000332378300007,article,"Webb, Jonathan K. and Letnic, Mike and Jessop, Tim S. and Dempster, Tim",n,Behavioural flexibility allows an invasive vertebrate to survive in a semi-arid environment,BIOLOGY LETTERS,2014,10,NA,1-Feb,"Plasticity or evolution in behavioural responses are key attributes of successful animal invasions. In northern Australia, the invasive cane toad (Rhinella marina) recently invaded semi-arid regions. Here, cane toads endure repeated daily bouts of severe desiccation and thermal stress during the long dry season (April-October). We investigated whether cane toads have shifted their ancestral nocturnal rehydration behaviour to one that exploits water resources during the day. Such a shift in hydration behaviour could increase the fitness of individual toads by reducing exposure to desiccation and thermal stress suffered during the day even within terrestrial shelters. We used a novel method (acoustic tags) to monitor the daily hydration behaviour of 20 toads at two artificial reservoirs on Camfield station, Northern Territory. Remarkably, cane toads visited reservoirs to rehydrate during daylight hours, with peaks in activity between 9.00 and 17.00. This diurnal pattern of rehydration activity contrasts with nocturnal rehydration behaviour exhibited by adult toads in their native geographical range and more mesic parts of Australia. Our results demonstrate that cane toads phase shift a key behaviour to survive in a harsh semi-arid landscape. Behavioural phase shifts have rarely been reported in invasive species but could facilitate ongoing invasion success.",10.1098/rsbl.2013.1014,1744-9561,1744-957X,ISI:000332378300007,2,20131014,"Dempster, Tim/0000-0001-8041-426X Jessop, Tim S./0000-0002-7712-4373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
