sortID,common,spp,sex,N,meanMass,sDev,minMass,maxMass,season,location,citationNumber, 
2,African Broadbill,Smithornis capensis,B,29,23.2,1.9,19,28.5,,Tanzania,1014,
3,,, , , ,, , ,,,,
4,Gray-headed Broadbill,Smithornis sharpei,U,6,37.5,,34,40.3,,,623,
5,,,,,,,,,,,,
6,Rufous-sided Broadbill,Smithornis rufolateralis,M,12,20.5,2.7,,,,Liberia,623,
7,,Smithornis rufolateralis,F,6,17.7,,10,23.1,,,,
8,Grauer's Broadbill,Pseudocalyptomena graueri,M,1,32.5,,,,,,623,
9,,Pseudocalyptomena graueri,F,4,31.1,,29,32.5,,,,
10,Dusky Broadbill,Corydon sumatranus,U,,140,,,,,estimated,274,
11,,,,,,,,,,,,
12,Black-and-red Broadbill,Cymbirhynchus macrorhynchos,M,1,59.4,,,,,Malaysia,785,
13,,,,,,,,,,,,
14,Banded Broadbill,Eurylaimus javanicus,B,3,78.2,,74.3,81.8,,Borneo; Malaysia ,"785, 1218",
15,,,,,,,,,,,,
16,Black-and-yellow Broadbill,Eurylaimus ochromalus,B,5,33.3,,32,34.7,,Borneo,1218,
17,,,,,,,,,,,,
18,Wattled Broadbill,Eurylaimus steerii,U, , ,,33.7,44.4,, ,274,
19,,,,,,,,,,,,
20,Visayan Broadbill,Eurylaimus samarensis,B,16,27.1,,33.4,41.5,,Philippines,954,
21,,,,,,,,,,,,
22,Long-tailed Broadbill,Psarisomus dalhousiae,F,1,67,,,,W,India,7,
23,,,,,,,,,,, ,
24,Silver-breasted Broadbill,Serilophus lunatus,F,2,34,,33,35,W,India,7,
25,,,,,,,,,,,,
26,Green Broadbill,Calyptomena viridis,F,3,58.5,,53.2,67.4,,Borneo,"398, 1218",
27,,,,,,,,,,,,
28,Hose's Broadbill,Calyptomena hosii,M,,,,102,115,,,274,
29,,Calyptomena hosii,F,,92,,,,,,,
30,Whitehead's Broadbill,Calyptomena whiteheadi,M,,,,142,171,,,274,
31,,Calyptomena whiteheadi,F,,,,150,163,,,,
32,,,,,,,,,,,,
34,Velvet Asity,Philepitta castanea,U,85,35.4,3.7,25.5,46.3,,Madagascar,957,
35,,,,,,,,,,,,
36,Schlegel's Asity,Philepitta schlegeli,B,3,27.9,,24.4,30,,Madagascar,957,
37,,,,,,,,,,,,
38,Sunbird Asity,Neodrepanis coruscans,U,37,6.5,0.7,5,8.5,,Madagascar,957,
39,,,,,,,,,,,,
40,Yellow-bellied Asity,Neodrepanis hypoxanthus,U,13,7.1,0.8,5.5,8.5,,Madagascar,957,
41,,,,,,,,,,,,
42,,,,,,,,,,,,
44,Campo Miner,Geositta poeciloptera,U,,,,17,19,,,274,
45,,,,,,,,,,,,
46,Coastal Miner,Geositta peruviana,B,4,20.8,,20,22.2,,,1043,
47,,,,,,,,,,,,
48,Grayish Miner,Geositta maritima,U,,,,16,17,,,274,
49,,,,,,,,,,,,
50,Common Miner,Geositta cunicularia,U,20,28.5,,24.3,31.5,,Brazil; Argentina ,"63, 210, 1040, 1041, 1042",
51,,,,,,,,,,,,
52,Puna Miner,Geositta punensis,M,4,25.8,,24,28,,Bolivia,1143,
53,,,,,,,,,,,,
54,Short-billed Miner,Geositta antarctica,U,,,,34,40,,,274,
55,,,,,,,,,,,,
56,Dark-winged Miner,Geositta saxicolina,U,,,,31,35,,,274,
57,,,,,,,,,,,,
58,Rufous-banded Miner,Geositta rufipennis harrisoni,B,12,26.6,,24,29,,Chile ,748,
59,,,,,,,,,,,,
60,Rufous-banded Miner,Geositta rufipennis fasciata,B,18,39.4,,36,44,,Chile ,748,
61,,,,,,,,,,,,
62,Creamy-rumped Miner,Geositta isabellina,U,,,,38,48,,,274,
63,,,,,,,,,,,,
64,Thick-billed Miner,Geositta crassirostris,F,1,55.8,,,,,,1043,
65,,,,,,,,,,,,
66,Slender-billed Miner,Geositta tenuirostris tenuirostris,B,10,34,,29,42.5,, ,651,
67,,,,,,,,,,,,
68,Slender-billed Miner,Geositta tenuirostris kalimayae,B,2,30.5,,30,31,,Ecuador,651,
69,,,,,,,,,,,,
70,Scale-throated Earthcreeper,Upucerthia dumetaria hypoleuca,M,3,47.9,,47.4,48.7,,"Patagonia, Argentina",840,
71,,Upucerthia dumetaria hypoleuca,F,5,48.4,,44.4,54.5,,,,
72,Scale-throated Earthcreeper,Upucerthia dumetaria dumetaria,M,13,50.7,,47.2,55.5,,Argentina,840,
73,,Upucerthia dumetaria dumetaria,F,8,47.8,,44.3,50.9,,,,
74,Plain-breasted Earthcreeper,Upucerthia jelskii,U,23,40.1,,,,,Peru ,1071,
75,,,,,,,,,,,,
76,Buff-breasted Earthcreeper,Upucerthia validirostris,U,6,33.6,,30,39,,,"362, 776a", 
77,,,,,,,,,,,,
78,White-throated Earthcreeper,Upucerthia albigula,U,7,39.9,,,,,Peru,1071,
79,,,,,,,,,,,,
80,Striated Earthcreeper,Upucerthia serrana,M,1,48.7,,,,,Peru,1043,
81,,,,,,,,,,,,
82,Straight-billed Earthcreeper,Upucerthia ruficauda,B,17,36.3,,31.9,41,, ,840,
83,,, , , ,,,,,,,
84,Rock Earthcreeper,Upucerthia andaecola,U,,,,28,34,,,274,
85,,,,,,,,,,,,
86,Chaco Earthcreeper,Ochetorhynchus certhioides,M,7,21.7,,18,24,,Bolivia,657,
87,,Ochetorhynchus certhioides,F,5,22.5,,20.9,24,,,,
88,Bolivian Earthcreeper,Ochetorhynchus harterti,M,3,24.9,,23.6,26.2,,Bolivia,1055,
89,,Ochetorhynchus harterti,F,6,23,,21.6,23.8,,,,
90,Band-tailed Earthcreeper,Eremobius phoenicurus,M,4,31.6,,29,34,,Argentina,840,
91,,Eremobius phoenicurus,F,2,28.8,,27.9,29.6,,,,
92,Crag Chilia ,Chilia melanura,U,,40,,,,,Chile ,582,
93,,,,,,,,,,,,
94,Blackish Cinclodes,Cinclodes antarcticus,M,4,63.2,,59,68.9,,Argentina,1148,
95,,,,,,,,,,,,
96,Chilean Seaside Cinclodes,Cinclodes nigrofumosus,U, , ,,63,67,, ,274,
97,,,,,,,,,,,,
98,Peruvian Seaside Cinclodes,Cinclodes taczanowskii,U,10,64.5,2.9,,,,Peru,71a,
99,,,,,,,,,,, ,
100,Dark-bellied Cinclodes,Cinclodes patagonicus,U,15,30.7,2,36.7,44,,Argentina,210,
101,,,,,,,,,,,,
102,Gray-flanked Cinclodes,Cinclodes oustaleti,U,10,30.5,1.9,28,33.4,,Argentina,210,
103,,,,,,,,,,,,
104,Olrog's Cinclodes,Cinclodes olrogi,U,,,,24,32,,,274,
105,,,,,,,,,,,,
106,Bar-winged Cinclodes,Cinclodes fuscus,B,13,30,,26.7,33,,,"63, 1041, 1043, 1263",
107,,,,,,,,,,,,
108,Comechingones Cinclodes,Cinclodes comechingonus,U,,,,25,32,,,274,
109,,,,,,,,,,,,
110,Stout-billed Cinclodes,Cinclodes excelsior,U,,,,62,66,,,274,
111,,,,,,,,,,,,
112,Royal Cinclodes,Cinclodes aricomae,U,,50,,,,,,274,
113,,,,,,,,,,,,
114,Long-tailed Cinclodes,Cinclodes pabsti,U,,53,,,,,Brazil ,1105,
115,,,,,,,,,,,,
116,White-winged Cinclodes,Cinclodes atacamensis,U,2,53,,51.2,54.7,,Peru; Argentina,"1041, 1103",
117,,,,,,,,,,,,
118,White-bellied Cinclodes,Cinclodes palliatus,U,,,,99,109,,,274,
119,,,,,,,,,,,,
120,Pale-legged Hornero,Furnarius leucopus,U,11,54.8,,,,,Ecuador; Peru,"318, 1043, 1302, 1311", 
121,,,,,,,,,,,,
122,Bay Hornero,Furnarius torridus,U,,,,48,57,,,274,
123,,,,,,,,,,,,
124,Tail-banded Hornero,Furnarius figulus,M,1,28,,,,,Brazil,449,
125,,,,,,,,,,,,
126,Lesser Hornero,Furnarius minor,U,,,,23,29,,,274,
127,,,,,,,,,,,,
128,Rufous Hornero,Furnarius rufus,U,67,57.4,3.8,,,B,Brazil,1015,
129,,,,,,,,,,,,
130,Rufous Hornero,Furnarius rufus,U,10,43.7,,42,48,,Argentina,362,
131,,,,,,,,,,,,
132,Rufous Hornero,Furnarius rufus,B,8,39.9,,31.4,44,,Bolivia,1055,
133,,,,,,,,,,,,
134,Crested Hornero,Furnarius cristatus,U,1,25.5,,,,,Argentina,1041,
135,,,,,,,,,,,,
136,Des Murs' Wiretail,Sylviorthorhynchus desmursii,U,,10.9,,,,,Chile ,84,
137,,,,,,,,,,,,
138,Thorn-tailed Rayadito,Aphrastura spinicauda,U,23,11.5,0.8,9.5,12.8,,Argentina,210,
139,,,,,,,,,,,,
140,Andean Tit-Spinetail,Leptasthenura andicola,U,,,,15,16,,,274,
141,,,,,,,,,,,,
142,Streaked Tit-Spinetail,Leptasthenura striata,U,,,,8,10,,,274,
143,,,,,,,,,,,,
144,Rusty-crowned Tit-Spinetail,Leptasthenura pileata,B,3,10.3,,9.9,10.6,,,1043,
145,,,,,,,,,,,,
146,White-browed Tit-Spinetail,Leptasthenura xenothorax,F,1,10.5,,,,,Peru,1143,
147,,,,,,,,,,,,
148,Striolated Tit-Spinetail,Leptasthenura striolata,U,,10.5,,,,,Brazil,1105,
149,,,,,,,,,,,,
150,Plain-mantled Tit-Spinetail,Leptasthenura aegithaloides,B,41,9.2,0.8,7.5,11,,Chile ,328,
151,,,,,,,,,,,,
152,Plain-mantled Tit-Spinetail,Leptasthenura aegithaloides,B,4,12.5,,12.2,12.8,,Argentina,210,
153,,     pallida,,,,,,,,,,
154,Tufted Tit-Spinetail,Leptasthenura platensis,B,4,10.6,,9.8,11.6,,Argentina,"841, 1040",
155,,,,,,,,,,,,
156,Brown-capped Tit-Spinetail,Leptasthenura fuliginiceps,U,4,12.6,,12,13,,Argentina,1040,
157,,,,,,,,,,,,
158,Araucaria Tit-Spinetail,Leptasthenura setaria,B,2,11,,11,11,,Brazil,63,
159,,,,,,,,,,,,
160,Tawny Tit-Spinetail,Leptasthenura yanacensis,F,1,8.8,,,,,Peru,1143,
161,,,,,,,,,,,,
162,Wren-like Rushbird,Phleocryptes melanops,U,6,14.6,,13,16,,Brazil; Argentina,"63, 210, 1043",
163,,,,,,,,,,,,
164,Curve-billed Reedhaunter,Limnornis curvirostris,B,3,28.6,,27,30,,Brazil,63,
165,,,,,,,,,,,,
166,Straight-billed Reedhaunter,Limnornis rectirostris,B,3,18.5,,16,21,,Brazil,63,
167,,,,,,,,,,,,
168,Bay-capped Spinetail,Spartonoica maluroides,B,2,11,,10,12,,Brazil ,63,
169,,,,,,,,,,,,
170,Chotoy Spinetail,Schoeniophylax phryganophilus,U,6,18.6,,15,22.5,,Brazil; Argentina,"63, 210a",
171,,,,,,,,,,,,
172,White-whiskered Spinetail,Poecilurus  candei,M,2,15.3,,14.5,16,B,Venezuela,97,
173,,,,,,,,,,,,
174,Ochre-cheeked Spinetail,Poecilurus scutatus,U,12,15.4,1.7,13.5,19.5,,Brazil,177,
175,,,,,,,,,,,,
176,Russet-bellied Spinetail,Synallaxis zimmeri,U,,,,12,14,,,274,
177,,,,,,,,,,,,
178,Bahia Spinetail,Synallaxis whitneyi,B,2,16.2,,16,16.5,,Brazil,891,
179,,,,,,,,,,,,
180,Rufous-breasted Spinetail,Synallaxis erythrothorax,B,13,17.1,1.2,15,18.8,,Mexico; Belize,"910a, 1027, 1145",
181,,,,,,,,,,,,
182,Rufous Spinetail,Synallaxis unirufa,U,32,17.9,2.1,16.9,26.4,,Columbia,324a,
183,,,,,,,,,,,,
184,Black-throated Spinetail,Synallaxis castanea,U,1,15,,,,,Venezuela,1043,
185,,,,,,,,,,,,
186,Rusty-headed Spinetail,Synallaxis fuscorufa,U,,,,15,17,,,274,
187,,,,,,,,,,,,
188,Azara's Spinetail,Synallaxis azarae,U,31,16.9,0.9,15.8,19.3,,Ecuador,633,
189,,,,,,,,,,,,
190,Apurimac Spinetail,Synallaxis courseni,M,2,16.8,,16,17.5,,Peru ,1143,
191,,,,,,,,,,,,
192,Sooty-fronted Spinetail,Synallaxis frontalis,B,10,14,,12.1,16.8,,Bolivia,1055,
193,,,,,,,,,,,,
194,Cinereous-breasted Spinetail,Synallaxis hypospodia,U,17,16.9,1,14.9,18.1,,Bolivia,110,
195,,,,,,,,,,,,
196,Pale-breasted Spinetail,Synallaxis albescens,U,50,11.2,0.9,9.2,14.3,,Bolivia,110,
197,,,,,,,,,,, ,
198,Chicli Spinetail,Synallaxis spixi,B,3,12.6,,12,13,,Brazil,63,
199,,,,,,,,,,,,
200,Dark-breasted Spinetail,Synallaxis albigularis,U,9,15.4,,,,, ,"1288, 1311",
201,,,,,,,,,,,,
202,Slaty Spinetail,Synallaxis brachyura,B,13,18.3,,,,,Panama; Peru,"489, 990, 1302, 1311", 
203,,,,,,,,,,,,
204,Rufous-capped Spinetail,Synallaxis ruficapilla,U,18,13.8,0.7, , ,,Brazil ,961,
205,,,,,,,,,,,,
206,Pinto's Spinetail,Synallaxis infuscata,B,7,18.2,,16,20,,Brazil,891,
207,,,,,,,,,,,,
208,Cabanis' Spinetail,Synallaxis cabanisi,U,22,22.7,1.5,,,,Peru,1288,
209,,,,,,,,,,,,
210,Dusky Spinetail,Synallaxis moesta,U,,,,20,25,,,274,
211,,,,,,,,,,,,
212,MacConnell's Spinetail,Synallaxis macconnelli,B,9,19.5,,17.6,22,,Venezuela; Suriname,"296, 498",
213,,,,,,,,,,,,
214,Plain-crowned Spinetail,Synallaxis gujanensis,U,12,18.1,1.3,,,,Peru,1288,
215,,,,,,,,,,,,
216,White-lored Spinetail,Synallaxis albilora,U,,,,13,17,,,274,
217,,,,,,,,,,,,
218,Maranon Spinetail,Synallaxis maranonica,U,1,13,,,,,southern Ecuador,1311,
219,,,,,,,,,,,,
220,White-bellied Spinetail,Synallaxis propinqua,U,,,,18,22,,,274,
221,,,,,,,,,,,,
222,Gray-bellied Spinetail,Synallaxis cinerascens,B,10,13.1,,12,14.5,,Brazil; Paraguay,"63, 132, 878",
223,,,,,,,,,,,,
224,Black-faced Spinetail,Synallaxis tithys,B,15,15.8,,,,,Peru,1302,
225,,,,,,,,,,,,
226,Ruddy Spinetail,Synallaxis rutilans,B,13,16.7,,15.5,18.5,,Suriname,498,
227,,,,,,,,,,,,
228,Chestnut-throated Spinetail,Synallaxis cherriei,M,1,16,,,,,Brazil,449,
229,,,,,,,,,,,,
230,Stripe-breasted Spinetail,Synallaxis cinnamomea terrestris,B,15,19.4,,16.5,23,,Tobago,359,
231,,,,,,,,,,,,
232,Stripe-breasted Spinetail,Synallaxis cinnamomea carri,B,9,17.4,,15.5,19,,Trinidad,359,
233,,,,,,,,,,,,
234,Red-shouldered Spinetail,Synallaxis hellmayri,U,,,,25,26,,,274,
235,,,,,,,,,,,,
236,Necklaced Spinetail,Synallaxis stictothorax,M,1,10.2,,,,,Peru,1143,
237,,,,,,,,,,,,
238,Great Spinetail,Siptornopsis hypochondriaca,U,,,,23,26,,,274,
239,,,,,,,,,,,,
240,White-browed Spinetail,Hellmayrea gularis,B,29,12.4,,10.5,14.5,,Peru ,900,
241,,,,,,,,,,,,
242,Creamy-crested Spinetail,Cranioleuca albicapilla,U,22,,,18.9,24,,Peru,739,
243,,,,,,,,,,,,
244,Light-crowned Spinetail,Cranioleuca albiceps,U,9,20.4,,,,,Peru,1288,
245,,,,,,,,,,,,
246,Light-crowned Spinetail,Cranioleuca albiceps,B,23,15.1,,,,,Bolivia,963,
247,,,,,,,,,,,,
248,Marcapata Spinetail,Cranioleuca marcapatae,F,2,19.8,,19.1,20.5,,Peru ,370,
249,,,,,,,,,,,,
250,Baron's Spinetail,Cranioleuca baroni baroni,U,20,,,24,28,,Peru,739,
251,,,,,,,,,,,,
252,Baron's Spinetail,Cranioleuca baroni zaratensis,U,13,,,15.5,19.8,,Peru,739,
253,,,,,,,,,,,,
254,Line-cheeked Spinetail,Cranioleuca antisiensis,U,12,15.4,1.8,13,18,,Ecuador,953,
255,,,,,,,,,,,,
256,Line-cheeked Spinetail,Cranioleuca antisiensis zaratensis,M,5,18.5,,16.8,19.5,,Peru,1043,
257,,,,,,,,,,,,
258,Ash-browed Spinetail,Cranioleuca curtata,U,4,17.5,,16,19.7,,Peru; Brazil ,"785a, 890, 1288", 
259,,,,,,,,,,,,
260,Streak-capped Spinetail,Cranioleuca hellmayri,U,,,,14,16,,,274,
261,,,,,,,,,,,,
262,Tepui Spinetail,Cranioleuca demissa,B,10,15.2,,14,16.8,,Venezuela,1308,
263,,,,,,,,,,,,
264,Pallid Spinetail,Cranioleuca pallida,F,1,11.5,,,,,Brazil,1178,
265,,,,,,,,,,,,
266,Red-faced Spinetail,Cranioleuca erythrops,B,18,16.9,,,,,Panama,489,
267,,,,,,,,,,,,
