commonName,scientificName,alpha,aou,neoStat,nestLoc1,nestLoc2,nestType1,nestType2,foodType1,foodType2,foragingSubstrate1,foragingSubstrate2,foragingTechnique1,foragingTechnique2,habitat1,habitat2,notes
 Black-footed Albatross,Diomedea nigripes,BFAL,810,R,Ground,,Scrape,,Fish, Aquatic Inverts,Water,,Scavenger, Ground Gleaner,Pelagic,,NA
 Laysan Albatross,Diomedea immutabilis,LAAL,821,R,Ground,,Scrape,,Aquatic Inverts,NA,Water,,Ground Gleaner,,Pelagic,,NA
 Anhinga,Anhinga anhinga,ANHI,1180,R,Shrub, Woody Lower Canopy,Platform,,Fish, Aquatic Inverts,Water,,Surface Dives,,Freshwater, Swamp/Marsh,NA
 Groove-billed Ani,Crotophaga sulcirostris,GBAN,3840,C,Woody Lower Canopy,,Cup,,Insects, Small Verts,Ground,,Ground Gleaner,,Shrubland, Swamp/Marsh,NA
 Smooth-billed Ani,Crotophaga ani,SBAN,3830,R,Woody Lower Canopy,,Cup,,Insects, Small Verts,Ground,,Ground Gleaner,,Shrubland, Grassland,NA
 Cassins Auklet,Ptychoramphus aleuticus,CAAU,160,R,Ground, Cliff,Burrow, Crevice,Aquatic Inverts,NA,Water,,Surface Dives,,Coastal, Pelagic,NA
 Crested Auklet,Aethia cristatella,CRAU,180,R,Ground, Cliff,Crevice,,Aquatic Inverts,NA,Water,,Surface Dives,,Coastal, Pelagic,NA
 Least Auklet,Aethia pusilla,LEAU,200,R,Ground, Cliff,Crevice,,Aquatic Inverts,NA,Water,,Surface Dives,,Coastal, Pelagic,NA
 Parakeet Auklet,Cyclorrhynchus psittacula,PAAU,170,R,Ground, Cliff,Crevice,,Aquatic Inverts, Fish,Water,,Surface Dives,,Coastal, Pelagic,NA
 Rhinoceros Auklet,Cerorhinca monocerata,RHAU,150,R,Ground,,Burrow,,Fish, Aquatic Inverts,Water,,Surface Dives,,Coastal, Pelagic,NA
 Whiskered Auklet,Aethia pygmaea,WHAU,190,R,Ground,,Crevice,,Aquatic Inverts,NA,Water,,Surface Dives,,Coastal, Pelagic,NA
 American Avocet,Recurvirostra americana,AMAV,2250,R,Ground,,Scrape,,Aquatic Inverts, Insects,Water,,Prober,,Swamp/Marsh, Freshwater,NA
 Rose-throated Becard,Pachyramphus aglaiae,RTBE,4411,C,Woody Upper Canopy,,Sphere,,Insects, Fruit,Air,,Hover Gleaner, Hawker,Forest, Shrubland,NA
 American Bittern,Botaurus lentiginosus,AMBI,1900,R,Ground,,Platform,,Fish, Aquatic Inverts,Water, Ground,Ambusher, Ground Gleaner,Swamp/Marsh,,NA
 Least Bittern,Ixobrychus exilis,LEBI,1910,R,Ground, Shrub,Platform,,Fish, Aquatic Inverts,Water, Ground,Ambusher, Ground Gleaner,Swamp/Marsh,,NA
 Brewers Blackbird,Euphagus cyanocephalus,BRBL,5100,B,Woody Upper Canopy, Ground,Cup,,Insects, Seeds,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Shrubland, Riparian,NA
 Red-winged Blackbird,Agelaius phoeniceus,RWBL,4980,B,Reed, Shrub,Cup,,Insects, Seeds,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Swamp/Marsh, Riparian,NA
 Rusty Blackbird,Euphagus carolinus,RUBL,5090,R,Woody Lower Canopy, Shrub,Cup,,Insects, Seeds,Ground,,Ground Gleaner,,Swamp/Marsh, Riparian,NA
 Tricolored Blackbird,Agelaius tricolor,TRBL,5000,R,Reed, Shrub,Cup,,Insects, Seeds,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Swamp/Marsh, Cropland,NA
 Yellow-headed Blackbird,Xanthocephalus xanthocephalus,YHBL,4970,A,Reed, Shrub,Cup,,Insects, Seeds,Ground, Air,Ground Gleaner, Hawker,Swamp/Marsh,,NA
 Eastern Bluebird,Sialia sialis,EABL,7660,B,Snag, Woody Upper Canopy,Cavity,,Insects, Fruit,Air, Foliage,Hawker, Foliage Gleaner,Forest Edge, Grassland,NA
 Mountain Bluebird,Sialia currucoides,MOBL,7680,B,Snag, Woody Upper Canopy,Cavity,,Insects, Fruit,Ground,,Swooper, Hover & Pounce,Forest, Grassland,NA
 Western Bluebird,Sialia mexicana,WEBL,7670,B,Snag, Woody Upper Canopy,Cavity,,Insects, Fruit,Air, Foliage,Hawker, Foliage Gleaner,Riparian, Grassland,NA
 Bluethroat,Luscinia svecica,BLUE,7640,R,Ground,,Cup,,Insects, Seeds,Ground,,Ground Gleaner,,Tundra, Rocky Slope,NA
 Bobolink,Dolichonyx oryzivorus,BOBO,4940,A,Ground,,Cup,,Insects, Seeds,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Grassland, Swamp/Marsh,NA
 Northern Bobwhite,Colinus virginianus,NOBO,2890,R,Ground,,Scrape,,Greens, Seeds,Ground,,Ground Gleaner,,Forest Edge, Shrubland,NA
 Blue-footed Booby,Sula nebouxii,BFBO,1141,R,Ground,,Scrape,,Fish,NA,Water,,High Dives,,Coastal, Pelagic,NA
 Brown Booby,Sula leucogaster,BRBO,1150,R,Ground,,Scrape,,Fish,NA,Water,,High Dives,,Coastal, Pelagic,NA
 Masked Booby,Sula dactylatra,MABO,1140,R,Ground,,Scrape,,Fish,NA,Water,,High Dives,,Coastal, Pelagic,NA
 Red-footed Booby,Sula sula,RFBO,1160,R,Woody Upper Canopy, Ground,Platform, Scrape,Fish,NA,Water,,High Dives, Skimmer,Coastal, Pelagic,NA
 Brant,Branta bernicla,BRAN,1730,R,Ground,,Scrape,,Greens, Aquatic Inverts,Water,,Surface Dips, Dabbler,Tundra, Shoreline,NA
 Bufflehead,Bucephala albeola,BUFF,1530,R,Snag, Bank,Cavity, Burrow,Aquatic Inverts,NA,Water,,Surface Dives,,Freshwater, Forest,NA
 Indigo Bunting,Passerina cyanea,INBU,5980,A,Shrub, Woody Lower Canopy,Cup,,Insects, Seeds,Foliage, Ground,Foliage Gleaner, Ground Gleaner,Forest Edge, Shrubland,NA
 Lark Bunting,Calamospiza melanocorys,LARB,6050,A,Ground,,Cup,,Insects, Seeds,Ground, Air,Ground Gleaner, Hawker,Grassland, Shrubland,NA
 Lazuli Bunting,Passerina amoena,LASB,5990,A,Shrub, Woody Lower Canopy,Cup,,Insects, Seeds,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Shrubland, Riparian,NA
 McKays Bunting,Plectrophenax hyperboreus,MKBU,5350,R,Ground, Cliff,Crevice, Cavity,Insects, Seeds,Ground,,Ground Gleaner,,Shoreline, Tundra,NA
 Painted Bunting,Passerina ciris,PABU,6010,A,Shrub, Woody Lower Canopy,Cup,,Seeds, Insects,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Shrubland, Riparian,NA
 Snow Bunting,Plectrophenax nivalis,SNBU,5340,R,Ground, Cliff,Crevice, Cavity,Insects, Seeds,Ground,,Ground Gleaner,,Shoreline, Tundra,NA
 Varied Bunting,Passerina versicolor,VABU,6000,C,Shrub, Woody Lower Canopy,Cup,,Insects, Seeds,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Shrubland,,NA
 Bushtit,Psaltriparus minimus,BUTI,7430,R,Woody Lower Canopy, Shrub,Pendant,,Insects, Seeds,Foliage, Bark,Foliage Gleaner, Bark Gleaner,Forest, Shrubland,NA
 Canvasback,Aythya valisineria,CANV,1470,R,Reed, Floating,Cup,,Greens, Seeds,Water,,Surface Dives, Prober,Swamp/Marsh, Freshwater,NA
 Crested Caracara,Polyborus plancus,CRCA,3620,R,Woody Upper Canopy, Shrub,Platform,,Carrion, Small Verts,Ground,,Scavenger, Ground Gleaner,Shrubland,,NA
 Northern Cardinal,Cardinalis cardinalis,NOCA,5930,R,Shrub, Woody Lower Canopy,Cup,,Insects, Seeds,Ground,,Ground Gleaner,,Shrubland, Urban,NA
 Gray Catbird,Dumetella carolinensis,GRCA,7040,A,Shrub, Woody Lower Canopy,Cup,,Insects, Fruit,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Shrubland, Riparian,NA
 Plain Chachalaca,Ortalis vetula,PLCH,3110,R,Woody Lower Canopy,,Saucer,,Fruit, Insects,Foliage, Ground,Foliage Gleaner, Ground Gleaner,Riparian, Forest Edge,NA
 Yellow-breasted Chat,Icteria virens,YBCH,6830,A,Shrub, Woody Lower Canopy,Cup,,Insects, Fruit,Foliage,,Foliage Gleaner,,Shrubland, Riparian,NA
 Black-capped Chickadee,Parus atricapillus,BCCH,7350,R,Woody Lower Canopy, Snag,Cavity,,Insects, Seeds,Foliage, Bark,Foliage Gleaner, Bark Gleaner,Forest, Riparian,NA
 Boreal Chickadee,Parus hudsonicus,BOCH,7400,R,Woody Lower Canopy, Snag,Cavity,,Insects, Seeds,Foliage, Bark,Foliage Gleaner, Bark Gleaner,Forest,,NA
 Carolina Chickadee,Parus carolinensis,CACH,7360,R,Woody Lower Canopy, Snag,Cavity,,Insects, Seeds,Foliage, Bark,Foliage Gleaner, Bark Gleaner,Forest, Riparian,NA
 Chestnut-backed Chickadee,Parus rufescens,CBCH,7410,R,Snag, Woody Lower Canopy,Cavity,,Insects, Seeds,Foliage, Bark,Foliage Gleaner, Bark Gleaner,Forest,,NA
 Mexican Chickadee,Parus sclateri,MECH,7370,R,Snag, Woody Upper Canopy,Cavity,,Insects, Seeds,Foliage, Bark,Foliage Gleaner, Bark Gleaner,Forest,,NA
 Mountain Chickadee,Parus gambeli,MOCH,7380,R,Woody Lower Canopy, Snag,Cavity,,Insects, Seeds,Foliage, Bark,Foliage Gleaner, Bark Gleaner,Forest,,NA
 Chuck-wills-widow,Caprimulgus carolinensis,CWWI,4160,A,Ground,,None,,Insects, Birds,Air,,Aerial Foraging,,Forest,,NA
 Chukar,Alectoris chukar,CHUK,2882,R,Ground,,Scrape,,Seeds, Insects,Ground,,Ground Gleaner,,Grassland, Shrubland,NA
 California Condor,Gymnogyps californianus,CALC,3240,R,Cliff,,None,,Carrion, Fish,Ground,,Scavenger, High Patrol,Rocky Slope,,NA
 American Coot,Fulica americana,AMCO,2210,R,Floating,,Platform,,Greens, Aquatic Inverts,Water, Ground,Surface Dips, Ground Gleaner,Freshwater, Swamp/Marsh,NA
 Brandts Cormorant,Phalacrocorax penicillatus,BRAC,1220,R,Cliff, Ground,Saucer,,Fish,NA,Water,,Surface Dives,,Coastal, Pelagic,NA
 Double-crested Cormorant,Phalacrocorax auritus,DCCO,1200,R,Ground, Woody Upper Canopy,Platform,,Fish, Aquatic Inverts,Water,,Surface Dives, Surface Dips,Coastal, Freshwater,NA
 Great Cormorant,Phalacrocorax carbo,GRCO,1190,R,Cliff, Woody Upper Canopy,Platform,,Fish, Aquatic Inverts,Water,,Surface Dives,,Coastal, Pelagic,NA
 Olivaceous Cormorant,Phalacrocorax olivaceus,OLCO,1210,R,Shrub, Woody Lower Canopy,Platform,,Fish, Aquatic Inverts,Water,,Surface Dives,,Coastal, Pelagic,Incorrect data in original table; replaced with values of other Phalacrocorax species
 Pelagic Cormorant,Phalacrocorax pelagicus,PECO,1230,R,Cliff, Ground,Platform,,Fish, Aquatic Inverts,Water,,Surface Dives,,Coastal, Pelagic,Incorrect data in original table; replaced with values of other Phalacrocorax species
 Red-faced Cormorant,Phalacrocorax urile,RFCO,1240,R,Cliff,,Platform,,Fish, Aquatic Inverts,Water,,Surface Dives,,Coastal, Pelagic,NA
 Bronzed Cowbird,Molothrus aeneus,BROC,4960,C,Woody Upper Canopy, Shrub,Parasitic,,Insects, Seeds,Ground,,Ground Gleaner,,Shrubland, Cropland,NA
 Brown-headed Cowbird,Molothrus ater,BHCO,4950,B,Woody Upper Canopy, Shrub,Parasitic,,Insects, Seeds,Ground,,Ground Gleaner,,Forest Edge, Forest,NA
 Sandhill Crane,Grus canadensis,SACR,2060,R,Ground,,Saucer,,Aquatic Inverts, Insects,Water, Ground,Prober, Ground Gleaner,Swamp/Marsh, Freshwater,NA
 Whooping Crane,Grus americana,WHCR,2040,R,Ground,,Saucer,,Aquatic Inverts, Fish,Water, Ground,Prober, Ground Gleaner,Swamp/Marsh, Freshwater,NA
 Brown Creeper,Certhia americana,BRCR,7260,B,Woody Upper Canopy,,Cup,,Insects, Nuts,Bark, Air,Bark Gleaner, Hawker,Forest,,NA
 Red Crossbill,Loxia curvirostra,RECR,5210,R,Woody Upper Canopy,,Cup,,Seeds, Fruit,Foliage,,Foliage Gleaner,,Forest,,NA
 White-winged Crossbill,Loxia leucoptera,WWCR,5220,R,Woody Upper Canopy,,Cup,,Seeds,NA,Foliage, Ground,Foliage Gleaner, Ground Gleaner,Forest,,NA
 American Crow,Corvus brachyrhynchos,AMCR,4880,R,Woody Upper Canopy, Shrub,Cup,,Insects, Seeds,Ground,,Scavenger, Ground Gleaner,Forest, Riparian,NA
 Fish Crow,Corvus ossifragus,FICR,4900,R,Woody Upper Canopy, Shrub,Cup,,Aquatic Inverts, Carrion,Ground,,Scavenger, Ground Gleaner,Shoreline, Freshwater,NA
 Northwestern Crow,Corvus caurinus,NOCR,4890,R,Woody Upper Canopy, Shrub,Cup,,Aquatic Inverts, Insects,Ground,,Scavenger, Ground Gleaner,Forest, Forest Edge,NA
 Black-billed Cuckoo,Coccyzus erythropthalmus,BBCU,3880,A,Woody Lower Canopy, Shrub,Platform, Parasitic,Insects, Fish,Foliage,,Scavenger, Foliage Gleaner,Forest, Forest Edge,NA
 Mangrove Cuckoo,Coccyzus minor,MACU,3860,D,Woody Lower Canopy, Shrub,Platform,,Insects, Fruit,Foliage,,Foliage Gleaner,,Swamp/Marsh, Shrubland,NA
 Yellow-billed Cuckoo,Coccyzus americanus,YBCU,3870,A,Woody Lower Canopy, Shrub,Platform, Parasitic,Insects,NA,Foliage, Air,Foliage Gleaner, Hover Gleaner,Forest, Riparian,NA
 Bristle-thighed Curlew,Numenius tahitiensis,BTCU,2680,R,Ground,,Scrape,,Fruit, Insects,Ground,,Ground Gleaner,,Tundra,,NA
 Eskimo Curlew,Numenius borealis,ESCU,2660,R,Ground,,Scrape,,Insects, Fruit,Ground,,Ground Gleaner, Prober,Tundra, Shoreline,NA
 Long-billed Curlew,Numenius americanus,LBCU,2640,A,Ground,,Scrape,,Insects, Aquatic Inverts,Water, Ground,Prober, Ground Gleaner,Swamp/Marsh, Riparian,NA
 Dickcissel,Spiza americana,DICK,6040,A,Ground, Shrub,Cup,,Insects, Seeds,Ground,,Ground Gleaner,,Grassland, Cropland,NA
 American Dipper,Cinclus mexicanus,AMDI,7010,R,Cliff, MMS,Oven,,Aquatic Inverts, Fish,Water,,Prober,,Freshwater, Riparian,NA
 Common Ground Dove,Columbina passerina,COGD,3200,R,Ground, Shrub,Saucer,,Seeds, Fruit,Ground,,Ground Gleaner,,Forest Edge, Urban,NA
 Inca Dove,Columbina inca,INDO,3210,R,Shrub, Woody Lower Canopy,Saucer,,Seeds,NA,Ground,,Ground Gleaner,,Forest Edge, Shrubland,NA
 Mourning Dove,Zenaida macroura,MODO,3160,B,Woody Lower Canopy, Ground,Saucer,,Seeds,NA,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Forest Edge, Cropland,NA
 Rock Dove,Columba livia,RODO,3131,R,MMS, Cliff,Saucer,,Seeds,NA,Ground,,Ground Gleaner,,Urban,,NA
 White-tipped Dove,Leptotila verreauxi,WTDO,3180,R,Woody Lower Canopy,,Saucer,,Seeds, Fruit,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Riparian, Cropland,NA
 White-winged Dove,Zenaida asiatica,WWDO,3190,C,Woody Lower Canopy,,Saucer,,Seeds, Fruit,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Riparian, Shrubland,NA
 Dovekie,Alle alle,DOVE,340,R,Cliff,,Crevice,,Aquatic Inverts, Fish,Water,,Surface Dives,,Coastal, Pelagic,NA
 Long-billed Dowitcher,Limnodromus scolopaceus,LBDO,2320,R,Ground,,Scrape,,Aquatic Inverts, Insects,Water,,Prober,,Tundra, Swamp/Marsh,NA
 Short-billed Dowitcher,Limnodromus griseus,SBDO,2310,R,Ground,,Scrape,,Aquatic Inverts, Insects,Water,,Prober,,Tundra, Swamp/Marsh,NA
 American Black Duck,Anas rubripes,ABDU,1330,R,Ground,,Scrape,,Aquatic Inverts, Seeds,Water,,Dabbler,,Swamp/Marsh, Riparian,NA
 Black-bellied Whistling Duck,Dendrocygna autumnalis,BBWD,1770,R,Snag, Woody Upper Canopy,Cavity,,Seeds,NA,Ground,,Ground Gleaner,,Swamp/Marsh, Riparian,NA
 Fulvous Whistling Duck,Dendrocygna bicolor,FUWD,1780,R,Ground, Woody Lower Canopy,Saucer,,Greens, Seeds,Water, Ground,Surface Dips, Ground Gleaner,Swamp/Marsh,,NA
 Harlequin Duck,Histrionicus histrionicus,HARD,1550,R,Ground,,Scrape,,Aquatic Inverts,NA,Water,,Surface Dives, Dabbler,Freshwater, Coastal,NA
 Masked Duck,Oxyura dominica,MADU,1680,R,Ground,,Scrape,,Greens, Insects,Water,,Surface Dives,,Swamp/Marsh, Freshwater,NA
 Mottled Duck,Anas fulvigula,MODU,1340,R,Ground,,Scrape,,Aquatic Inverts, Insects,Water,,Dabbler,,Swamp/Marsh,,NA
 Ring-necked Duck,Aythya collaris,RNDU,1500,R,Ground, Floating,Scrape,,Greens, Aquatic Inverts,Water,,Surface Dives,,Swamp/Marsh,,NA
 Ruddy Duck,Oxyura jamaicensis,RUDU,1670,R,Ground,,Scrape,,Aquatic Inverts, Greens,Water,,Surface Dives,,Swamp/Marsh, Freshwater,NA
 Tufted Duck,Aythya fuligula,TUDU,1491,R,Ground, Bank,Burrow,,Greens, Insects,Water,,Ground Gleaner, Skimmer,Coastal, Freshwater,NA
 Wood Duck,Aix sponsa,WODU,1440,R,Snag, MMS,Cavity,,Aquatic Inverts, Seeds,Water,,Dabbler,,Swamp/Marsh, Riparian,NA
 Dunlin,Calidris alpina,DUNL,2430,R,Ground,,Scrape,,Insects, Seeds,Ground, Water,Ground Gleaner, Prober,Coastal, Tundra,NA
 Bald Eagle,Haliaeetus leucocephalus,BAEA,3520,R,Woody Upper Canopy, Cliff,Platform,,Fish, Birds,Water, Ground,High Patrol, Low Patrol,Freshwater, Coastal,NA
 Golden Eagle,Aquila chrysaetos,GOEA,3490,B,Cliff, Woody Upper Canopy,Platform,,Small Mammals, Birds,Ground,,High Patrol, Swooper,Grassland, Forest Edge,NA
 White-tailed Eagle,Haliaeetus albicilla,WTEA,3510,R,Woody Upper Canopy, Cliff,Platform,,Fish, Birds,Water, Air,Skimmer, Hawker,Tundra, Coastal,NA
 Cattle Egret,Bubulcus ibis,CAEG,2001,R,Woody Lower Canopy, Shrub,Platform,,Insects, Small Verts,Ground,,Ground Gleaner,,Swamp/Marsh, Grassland,NA
 Great Egret,Casmerodius albus,GREG,1960,R,Woody Upper Canopy, Shrub,Platform,,Fish, Small Verts,Water,,Ambusher,,Swamp/Marsh,,NA
 Reddish Egret,Egretta rufescens,REEG,1980,R,Woody Lower Canopy, Shrub,Platform,,Fish, Aquatic Inverts,Water,,Ambusher,,Coastal, Swamp/Marsh,NA
 Snowy Egret,Egretta thula,SNEG,1970,R,Woody Lower Canopy, Shrub,Platform,,Aquatic Inverts, Fish,Water,,Ambusher,,Swamp/Marsh, Freshwater,NA
 Common Eider,Somateria mollissima,COEI,1590,R,Ground,,Scrape,,Aquatic Inverts, Fish,Water,,Surface Dives, Dabbler,Tundra, Coastal,NA
 King Eider,Somateria spectabilis,KIEI,1620,R,Ground,,Scrape,,Aquatic Inverts,NA,Water,,Surface Dives, Dabbler,Tundra, Coastal,NA
 Spectacled Eider,Somateria fischeri,SPEI,1580,R,Ground,,Scrape,,Aquatic Inverts, Greens,Water,,Dabbler, Surface Dips,Tundra, Coastal,NA
 Stellers Eider,Polysticta stelleri,STEI,1570,R,Ground,,Scrape,,Aquatic Inverts, Greens,Water,,Dabbler, Surface Dips,Tundra, Coastal,NA
 Aplomado Falcon,Falco femoralis,APFA,3590,R,Woody Lower Canopy, Shrub,Platform,,Birds, Insects,Air,,Aerial Pursuit, Hawker,Grassland, Shrubland,NA
 Peregrine Falcon,Falco peregrinus,PEFA,3560,A,Cliff, Woody Upper Canopy,Scrape,,Birds,NA,Air,,Aerial Pursuit,,Forest, Grassland,NA
 Prairie Falcon,Falco mexicanus,PRFA,3550,B,Cliff, Woody Upper Canopy,Scrape, Crevice,Birds, Small Mammals,Air, Ground,Aerial Pursuit, Low Patrol,Grassland, Tundra,NA
 Fieldfare,Turdus pilaris,FIEL,7612,R,Ground, Woody Lower Canopy,Cup,,Insects, Seeds,Ground,,Ground Gleaner,,Forest,,NA
 Cassins Finch,Carpodacus cassinii,CAFI,5180,B,Woody Upper Canopy,,Cup,,Seeds, Insects,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Forest,,NA
 House Finch,Carpodacus mexicanus,HOFI,5190,R,Woody Upper Canopy, Shrub,Cup, Cavity,Seeds, Fruit,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Shrubland, Urban,NA
 Purple Finch,Carpodacus purpureus,PUFI,5170,B,Woody Upper Canopy,,Cup,,Seeds, Insects,Ground, Foliage,Ground Gleaner, Foliage Gleaner,Forest, Forest Edge,NA
 Rosy Finch,Leucosticte arctoa,ROFI,5240,R,Ground, Cliff,Cup, Crevice,Seeds, Insects,Ground,,Ground Gleaner,,Rocky Slope, Tundra,NA
 Greater Flamingo,Phoenicopterus ruber,GREF,1820,R,Ground,,Saucer,,Aquatic Inverts, Greens,Water,,Prober,,Coastal, Swamp/Marsh,NA
 Northern Flicker,Colaptes auratus,NOFL,4120,B,Snag, Woody Lower Canopy,Cavity,,Insects, Seeds,Ground, Air,Ground Gleaner, Hawker,Forest, Urban,NA
 Acadian Flycatcher,Empidonax virescens,ACFL,4650,A,Woody Lower Canopy, Shrub,Cup,,Insects, Fruit,Air,,Hawker,,Riparian, Swamp/Marsh,NA
 Alder Flycatcher,Empidonax alnorum,ALFL,4661,A,Shrub, Woody Lower Canopy,Cup,,Insects, Fruit,Air,,Hawker,,Swamp/Marsh, Shrubland,NA
 Ash-throated Flycatcher,Myiarchus cinerascens,ATFL,4540,A,Woody Lower Canopy,,Cavity,,Insects, Fruit,Air,,Hover Gleaner, Hawker,Shrubland, Riparian,NA
 Brown-crested Flycatcher,Myiarchus tyrannulus,BCFL,4530,C,Woody Lower Canopy, Shrub,Cavity,,Insects, Fruit,Air,,Hover Gleaner, Hawker,Shrubland, Desert,NA
 Buff-breasted Flycatcher,Empidonax fulvifrons,BBFL,4700,C,Woody Upper Canopy,,Cup,,Insects,NA,Air,,Hawker,,Forest,,NA
 Dusky Flycatcher,Empidonax oberholseri,DUFL,4690,A,Shrub, Woody Lower Canopy,Cup,,Insects,NA,Air,,Hawker, Hover Gleaner,Forest, Shrubland,NA
 Dusky-capped Flycatcher,Myiarchus tuberculifer,DCFL,4550,C,Woody Upper Canopy,,Cavity,,Insects, Fruit,Air,,Hover Gleaner, Hawker,Riparian, Forest,NA
 Gray Flycatcher,Empidonax wrightii,GRFL,4691,A,Shrub, Woody Lower Canopy,Cup,,Insects,NA,Air, Ground,Hawker, Ground Gleaner,Shrubland,,NA
 Great-crested Flycatcher,Myiarchus crinitus,GCFL,4520,A,Woody Upper Canopy, Snag,Cavity,,Insects, Fruit,Air, Ground,Hawker, Ground Gleaner,Forest Edge, Forest,NA
 Hammonds Flycatcher,Empidonax hammondii,HAFL,4680,A,Woody Upper Canopy,,Cup,,Insects,NA,Air,,Hawker,,Forest,,NA
 Least Flycatcher,Empidonax minimus,LEFL,4670,A,Woody Upper Canopy, Shrub,Cup,,Insects, Fruit,Air,,Hover Gleaner, Hawker,Forest, Urban,NA
 Olive-sided Flycatcher,Contopus borealis,OSFL,4590,A,Woody Upper Canopy,,Cup,,Insects,NA,Air,,Hawker,,Forest,,NA
 Scissor-tailed Flycatcher,Tyrannus forficatus,STFL,4430,A,Woody Upper Canopy, Shrub,Cup,,Insects, Fruit,Air, Foliage,Hawker, Foliage Gleaner,Grassland, Shrubland,NA
 Sulphur-bellied Flycatcher,Myiodynastes luteiventris,SBFL,4510,C,Woody Upper Canopy,,Cavity,,Insects, Fruit,Air,,Hawker,,Riparian, Forest,NA
 Vermilion Flycatcher,Pyrocephalus rubinus,VEFL,4710,A,Woody Upper Canopy,,Cup,,Insects,NA,Air,,Hawker, Hover & Pounce,Riparian, Forest Edge,NA
 Western Flycatcher,Empidonax difficilis,WEFL,4640,R,Woody Lower Canopy, Cliff,Cavity,,Insects, Fruit,Air,,Hawker, Hover Gleaner,Forest, Riparian,NA
 Willow Flycatcher,Empidonax traillii,WIFL,4660,A,Shrub, Woody Lower Canopy,Cup,,Insects, Fruit,Air,,Hawker, Hover Gleaner,Swamp/Marsh,,NA
 Yellow-bellied Flycatcher,Empidonax flaviventris,YBFL,4630,A,Ground,,Cup,,Insects, Fruit,Air,,Hawker, Hover Gleaner,Forest, Swamp/Marsh,NA
 Magnificent Frigatebird,Fregata magnificens,MAFR,1280,R,Shrub, Woody Lower Canopy,Platform,,Fish, Aquatic Inverts,Water, Air,Low Patrol, Hawker,Coastal, Pelagic,NA
 Northern Fulmar,Fulmarus glacialis,NOFU,860,R,Cliff, Ground,Scrape, Saucer,Fish, Aquatic Inverts,Water,,Surface Dips, High Dives,Pelagic,,NA
 Gadwall,Anas strepera,GADW,1350,R,Ground,,Scrape,,Greens, Insects,Water,,Dabbler, Surface Dives,Swamp/Marsh, Grassland,NA
 Purple Gallinule,Porphyrula martinica,PUGA,2180,R,Floating,,Platform,,Seeds, Fruit,Ground,,Ground Gleaner,,Swamp/Marsh,,NA
 Northern Gannet,Sula bassanus,NOGA,1170,R,Cliff, Ground,Platform,,Fish,NA,Water,,High Dives,,Coastal, Pelagic,NA
 Black-tailed Gnatcatcher,Polioptila melanura,BTGN,7520,R,Shrub, Woody Lower Canopy,Cup,,Insects, Seeds,Foliage, Air,Foliage Gleaner, Hover Gleaner,Shrubland,,NA
