internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
11481,Lemmus lemmus,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,CRICETIDAE,Lemmus,lemmus,,,,,"(Linnaeus, 1758)",Will be transferred to family Cricetidae.
12696,Malacochersus tornieri,ANIMALIA,CHORDATA,TESTUDINES,REPTILIA,TESTUDINIDAE,Malacochersus,tornieri,,,,,"(Siebenrock, 1903)","<p><span class=""s1"">Lindholm (1929) recognized <em>Testudo tornieri</em>&#160;Siebenrock, 1903 as the type of a new genus, for which he established the name <em>Malacochersus</em>. The genus is monotypic, with only one species currently<em> </em>recognized. Genetic studies have demonstrated that <em>Malacochersus</em> is most closely related to Asian <em>Indotestudo</em> and Eurasian <em>Testudo</em> (Le <em>et al</em>. 2006; Parham <em>et al</em>. 2006; Fritz and Bininda-Emonds 2007). Phylogeographic studies of the species have not yet been realized, but are clearly needed in view of its disjunct distribution. Vernacular names used for the species in East African Kiswahili are Kobe ya Mawe and Kobe kama Chapati.</p>"
12835,Marmota marmota,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,SCIURIDAE,Marmota,marmota,,,,,"(Linnaeus, 1758)",
1301,Anhydrophryne rattrayi,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,PYXICEPHALIDAE,Anhydrophryne,rattrayi,,,,,"Hewitt, 1919",
13486,Microtus thomasi,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,CRICETIDAE,Microtus,thomasi,,,,,"(Barrett-Hamilton, 1903)","Sometimes considered as a subspecies of <i>M. duodecimcostatus</i>, but its specific status has been reconfirmed by analysis of karyotype, molecular genetics and molar pattern (Kryštufek 1999, Jaarola <i>et al.</i> 2004). A chromosomally polymorphic species; relationships are unknown (Wilson and Reeder 2005)."
13490,Microtus multiplex,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,CRICETIDAE,Microtus,multiplex,,,,,"(Fatio, 1905)","Eastern populations are now considered as a separate species, <i>M. liechtensteini</i> (Wilson and Reeder 2005)."
136129,Telmatobius punctatus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,TELMATOBIIDAE,Telmatobius,punctatus,,,,,"Vellard, 1955",<em>Telmatobius punctatus</em> was previously considered to be a subspecies of <em>Telmatobius brevirostris</em>; it was elevated to specific status by Lehr (2005) based on differences in morphological features and colour patterns.
136498,Microtus liechtensteini,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,CRICETIDAE,Microtus,liechtensteini,,,,,"(Wettstein, 1927)","<em>Microtus liechtensteini</em>&#160;is part of&#160;<em>Microtus multiplex</em>&#160;species-complex. Its formerly continuous range in the Alps was split into three parts during the last glaciation which led to the evolution of three species:&#160;<em>Microtus liechtensteini&#160;</em>(south of the Alps east of the river Adige and Balkan mountains),&#160;<em>Microtus multiplex</em>&#160;(south of the Alps west of the river Adige), and&#160;<em>M. bavaricus&#160;</em>(north of the Alps in a small refuge in Bavaria and Northern Tyrol) (Haring&#160;<em>et al.</em>&#160;2000, Spitzenberger&#160;<em>et al.&#160;</em>2000, Spitzenberger 2002, Musser and Carleton 2005, Martinkova&#160;<em>et al.&#160;</em>2007)."
136536,Microtus brachycercus,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,CRICETIDAE,Microtus,brachycercus,,,,,"Lehmann, 1961","The validity of this species needs to be confirmed (Wilson and Reeder 2005, G. Amori pers. comm. 2006)."
137097,Coptodactyla lesnei,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Coptodactyla,lesnei,,,,,"Paulian, 1933","The genus <em>Coptodactyla </em>Burmeister, 1846 occurs in Australia and Papua New Guinea. The Australian fauna comprises 14 species (Reid 2000, Matthews 1974, T. Weir pers. comm. and G.B. Monteith pers. comm. 2012)."
