id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
50	adaptation	-0.7415	0.5568	3	5	7	14	2012.0714	22.6429	0.5599
139	alternate stable states	0.2871	0.2201	7	18	29	18	2011.2778	59.9444	1.2572
151	alternative stable states	0.8395	-0.0557	2	39	132	70	2012.9286	40.4	1.242
244	arctic	-0.8216	0.8078	6	3	5	10	2014.1	21.6	0.8994
304	australia	0.2917	-0.1066	8	15	21	15	2010.6	23.8	0.8071
333	baltic sea	-0.7845	-0.2556	1	14	20	17	2013.8235	37.9412	1.0292
424	biodiversity	-0.0341	-0.0282	1	30	44	35	2010.3143	54.0286	1.2411
494	bistability	0.853	0.302	2	17	41	19	2012.7895	24.2105	0.7849
763	climate	-0.5144	0.0876	1	28	47	31	2009.8387	48.7742	1.2494
765	climate change	-0.2949	0.3565	6	53	146	155	2012.4968	45.2774	1.2632
910	competition	-0.126	0.1793	1	24	31	29	2012.1034	24.4483	0.8882
941	conservation	-0.1848	0.0035	1	12	16	15	2012.1333	25.1333	1.4521
993	coral reefs	0.3632	0.3922	5	16	19	11	2014.1818	35.1818	0.8015
1033	critical slowing down	1.2837	-0.3798	2	10	30	14	2014.5714	38.6429	1.5931
1038	critical transitions	1.2753	-0.102	2	14	40	21	2015.619	25.8571	1.7529
1185	desertification	1.309	0.4069	2	7	10	13	2013.1538	28.9231	1.0229
1210	diatoms	-0.2592	-1.0942	4	10	19	13	2013	16.0769	0.6163
1267	disturbance	0.1496	0.2711	8	24	37	27	2012.8889	17.037	0.8417
1307	drought	-0.3033	0.8008	6	13	19	24	2013.0417	37.0833	1.7871
1348	early warning signals	1.1599	-0.4457	2	14	51	24	2014.9167	36.5	1.6855
1477	ecosystem function	-0.2154	0.551	6	12	13	12	2011.9167	33.4167	1.3101
1501	ecosystem services	0.7444	-0.8206	7	8	16	16	2011.625	175.25	2.7453
1519	ecosystem-based management	-0.5989	-0.0285	1	8	10	10	2012.8	26.1	0.8827
1606	environmental change	-0.6901	0.6812	6	10	11	11	2015.6364	16.3636	1.0378
1681	eutrophication	-0.3681	-0.3759	4	34	75	50	2011.8	44.3	1.0397
1736	facilitation	0.7429	0.5357	5	13	19	10	2013.7	23.5	1.1768
1769	fire	0.6996	-0.1443	8	20	38	28	2012.25	20.8214	1.1127
1784	fire regime	-0.0562	0.5677	1	9	10	10	2014.3	24.6	0.9658
1804	fish	-0.592	-0.207	3	20	23	13	2011.9231	43.7692	1.0448
1823	fisheries	-0.4395	0.1902	1	23	33	16	2010.375	46.9375	0.8416
1899	food webs	-0.3558	-0.1574	1	7	8	10	2010.1	36.6	1.0016
2065	global change	0.0991	0.1195	1	25	30	18	2013.2222	38	1.3268
2073	global warming	-0.9329	0.0548	3	10	11	11	2008.6364	57.0909	1.0769
2123	growth	-0.9278	0.2497	3	10	12	10	2010.3	42.2	2.109
2201	herbivory	-0.047	0.3082	5	19	21	16	2011.5625	21.875	0.96
2246	holocene	0.1064	1.0893	6	5	7	10	2008.8	34	0.5271
2330	hysteresis	0.6402	0.3161	5	29	61	32	2012.7812	37.375	1.0101
2365	indicators	0.1662	-0.3959	7	13	15	10	2014.1	20.3	0.8265
2521	kelp	-0.8028	0.0156	3	8	10	10	2011.4	77.6	2.6447
2626	landscape ecology	0.0806	-0.2838	8	14	17	11	2011.1818	91.4545	2.046
2776	macroalgae	0.2633	0.4624	5	9	11	10	2014.6	14.7	1.1121
