Publication Years	records	% of 2776
2019	25	0.901
2018	264	9.510
2017	263	9.474
2016	217	7.817
2015	212	7.637
2014	209	7.529
2013	190	6.844
2012	177	6.376
2011	141	5.079
2010	145	5.223
2009	131	4.719
2008	107	3.854
2007	122	4.395
2006	82	2.954
2005	57	2.053
2004	65	2.341
2003	64	2.305
2002	60	2.161
2001	46	1.657
2000	34	1.225
1999	34	1.225
1998	28	1.009
1997	37	1.333
1996	22	0.793
1995	12	0.432
1994	11	0.396
1993	12	0.432
1992	7	0.252
1991	2	0.072
(0 Publication Years {0} {1} value(s) outside display options.)
(0 records (0.000%){0} records{1} do not contain data in the field being analyzed.)
